scope,dataset,method,num_clusters,relative_regret,investment_cost,operational_cost_without_ens,ens_cost,total_cost
perlocation,basedataset,EAC,200,28.056690880262032,174263591.3781373,36210236.08,0.0,210473827.45813727
perlocation,basedataset,EAC,400,22.177252563068723,165735681.4218859,35074708.09,0.0,200810389.5118859
perlocation,basedataset,EAC,500,16.12213570198552,166695293.5062302,24161230.309536107,1682.700463894799,190858206.5162302
perlocation,basedataset,EAC,600,15.049212493198812,168938796.55430102,20154271.929536104,1682.700463894799,189094751.18430102
perlocation,basedataset,EAC,800,4.378104841632641,153443248.14057758,17417093.035389952,695389.9446100467,171555731.12057757
perlocation,basedataset,EAC,1000,2.069866281967111,148214801.62178054,18942689.161178824,604422.1388211764,167761912.92178056
perlocation,basedataset,EAC,1200,2.1707284633111477,144688689.15514988,19356340.690501228,3882660.0394987743,167927689.8851499
perlocation,basedataset,EAC,1400,2.0015528728641407,144621969.31242362,19155477.111406308,3872186.658593691,167649633.08242363
perlocation,basedataset,EAC,1500,1.975332862621443,144785365.69423467,18952951.51521285,3868220.6947871502,167606537.90423468
perlocation,basedataset,EAC,1600,1.1349769286579139,144834481.95338023,18757461.995067973,2633385.9249320305,166225329.87338024
perlocation,basedataset,EAC,1800,1.049401568911658,145191557.56212178,18400508.310567483,2492612.439432518,166084678.31212178
perlocation,basedataset,EAC,2000,0.9799186751701496,145321287.92917985,18162477.255388442,2486711.124611556,165970476.30917984
perlocation,basedataset,EAC,2200,0.989533403188636,145522579.71491334,18027843.05032977,2435856.299670229,165986279.06491333
perlocation,basedataset,EAC,2400,0.9731615221326454,145448317.13034517,17978186.674820956,2532866.4551790445,165959370.26034516
perlocation,basedataset,EAC,2500,0.986362019552264,145567604.88247532,17856389.404320605,2557072.2956793956,165981066.5824753
perlocation,basedataset,EAC,3000,0.3373476628900878,147010316.30443335,17103218.087961532,800812.952038467,164914347.34443334
perlocation,basedataset,EAC,3500,0.33530756362466135,147039228.19966516,17070415.952892665,801350.0871073329,164910994.23966515
perlocation,basedataset,EAC,4000,0.4166365607179815,147285845.0242304,16957942.868128065,800878.5918719374,165044666.4842304
perlocation,basedataset,HC,200,152.67796077166372,139818288.29430377,29914361.41926807,245568551.28073192,415301200.99430376
perlocation,basedataset,HC,400,10.499204844841696,144082318.42151025,23378026.821566373,14156018.688433627,181616363.93151024
perlocation,basedataset,HC,500,10.440347812967206,143652417.0627134,23503320.659077317,14363888.860922689,181519626.58271343
perlocation,basedataset,HC,600,3.8031949253096435,146421332.93406382,22690514.938327838,1498961.9816721634,170610809.8540638
perlocation,basedataset,HC,800,2.671802174175403,146824776.45067143,20661307.598314945,1265170.0016850552,168751254.05067143
perlocation,basedataset,HC,1000,1.911549319163067,146711597.92675668,19576560.15231046,1213545.2676895421,167501703.3467567
perlocation,basedataset,HC,1200,1.7482955167828702,146661043.46797565,19037174.87431853,1535161.2456814707,167233379.58797565
perlocation,basedataset,HC,1400,1.4925162477822076,146558103.27040097,18748148.07692734,1506729.7330726578,166812981.08040097
perlocation,basedataset,HC,1500,1.3468867375074345,146553610.71752512,18761906.506898873,1258107.3631011278,166573624.58752513
perlocation,basedataset,HC,1600,1.2350165991619697,146708981.26889434,18556011.6104618,1124762.0795381996,166389754.95889434
perlocation,basedataset,HC,1800,1.127337484942722,146680299.73261893,18472488.07731512,1059985.8826848834,166212773.69261894
perlocation,basedataset,HC,2000,1.0607806082594597,146704086.857894,18132936.47437309,1266357.5556269097,166103380.887894
perlocation,basedataset,HC,2200,1.03022339877381,146646521.89409867,17909949.45464561,1496685.7453543863,166053157.09409866
perlocation,basedataset,HC,2400,1.794747471734172,145577633.66684055,18016542.085144397,3715552.214855603,167309727.96684057
perlocation,basedataset,HC,2500,1.8114263685947511,145282735.28222632,17941806.62695814,4112599.473041863,167337141.38222632
perlocation,basedataset,HC,3000,0.9416112833002867,146164552.71467623,17686006.688624673,2056954.921375325,165907514.32467622
perlocation,basedataset,HC,3500,0.7987694522604131,145812191.2381326,17673952.440623637,2186595.9793763645,165672739.6581326
perlocation,basedataset,HC,4000,0.5431885323309248,146091589.6168595,17466679.68115904,1694397.8588409566,165252667.1568595
perlocation,basedataset,HC,5000,0.42920409204489596,146036889.84403038,17273920.855515163,1754511.7644848367,165065322.46403039
perlocation,basedataset,HC,6000,0.024764842088385048,146055876.09551045,17188973.658960175,1155736.831039825,164400586.58551046
perlocation,basedataset,HC,7000,0.02105135486822528,146151573.19225574,17140335.043923896,1102574.8660761055,164394483.10225573
perlocation,basedataset,HC,8000,0.006830778729515111,146184626.44993514,17115120.244250037,1071363.4857499655,164371110.17993516
perlocation,basedataset,PEC,500,30.987700362947432,176380147.7481151,38911083.47,0.0,215291231.2181151
perlocation,basedataset,PEC,1000,16.554813346980737,165103850.9378307,26465504.05,0.0,191569354.9878307
perlocation,basedataset,PEC,1500,6.683371006888856,156039469.54539758,19305194.35,0.0,175344663.89539757
perlocation,basedataset,PEC,2000,5.409205681053283,155248504.03509867,18001943.22,0.0,173250447.25509867
perlocation,basedataset,PEC,2500,3.146192317182934,151382572.3152514,17928803.395575047,219585.4244249552,169530961.1352514
perlocation,basedataset,PEC,3000,2.4527186651117683,150167160.52123925,17766615.867976457,457392.2620235408,168391168.65123925
perlocation,basedataset,PEC,3500,1.674158685855692,149188034.91931486,17193654.089991286,729839.3700087143,167111528.37931487
perlocation,basedataset,PEC,4000,1.2681320786534158,148417145.8622811,17276815.801910095,750221.8580899067,166444183.5222811
perlocation,basedataset,UTR,219,544.0565383737624,134156972.69782823,32832856.663143873,891580744.3368561,1058570573.6978283
