from_asset,to_asset,carrier,capacity,is_transport
AT_Battery,AT_E_Balance,electricity,,
AT_E_Balance,AT_Battery,electricity,,
AT_E_Balance,AT_E_Demand,electricity,,
AT_E_Balance,AT_Pump_Hydro_Closed,electricity,,
AT_E_Balance,AT_Pump_Hydro_Open,electricity,,
AT_E_Balance,AT_electrolyzer,electricity,,
AT_E_Balance,CH_E_Balance,electricity,1,true
AT_E_Balance,DE_E_Balance,electricity,1,true
AT_E_ENS,AT_E_Demand,electricity,,
AT_Gas,AT_E_Balance,electricity,,
AT_Hydro,AT_E_Balance,electricity,,
AT_Hydro_Reservoir,AT_E_Balance,electricity,,
AT_Pump_Hydro_Closed,AT_E_Balance,electricity,,
AT_Pump_Hydro_Open,AT_E_Balance,electricity,,
AT_Solar,AT_E_Balance,electricity,,
AT_Wind_Onshore,AT_E_Balance,electricity,,
AT_electrolyzer,AT_H_Demand,hydrogen,,
BE_Battery,BE_E_Balance,electricity,,
BE_E_Balance,BE_Battery,electricity,,
BE_E_Balance,BE_E_Demand,electricity,,
BE_E_Balance,BE_electrolyzer,electricity,,
BE_E_ENS,BE_E_Demand,electricity,,
BE_Gas,BE_E_Balance,electricity,,
BE_Hydro,BE_E_Balance,electricity,,
BE_OCGT,BE_E_Balance,electricity,,
BE_Solar,BE_E_Balance,electricity,,
BE_Wind_Offshore,BE_E_Balance,electricity,,
BE_Wind_Onshore,BE_E_Balance,electricity,,
BE_electrolyzer,BE_H_Demand,hydrogen,,
BG_Battery,BG_E_Balance,electricity,,
BG_Coal,BG_E_Balance,electricity,,
BG_E_Balance,BG_E_Demand,electricity,,
BG_E_Balance,BG_Pump_Hydro_Closed,electricity,,
BG_E_Balance,BG_Pump_Hydro_Open,electricity,,
BG_E_Balance,BG_electrolyzer,electricity,,
BG_E_Balance,GR_E_Balance,electricity,1,true
BG_E_ENS,BG_E_Demand,electricity,,
BG_Gas,BG_E_Balance,electricity,,
BG_Hydro,BG_E_Balance,electricity,,
BG_Hydro_Reservoir,BG_E_Balance,electricity,,
BG_Nuclear,BG_E_Balance,electricity,,
BG_OCGT,BG_E_Balance,electricity,,
BG_Pump_Hydro_Closed,BG_E_Balance,electricity,,
BG_Pump_Hydro_Open,BG_E_Balance,electricity,,
BG_Solar,BG_E_Balance,electricity,,
BG_Wind_Onshore,BG_E_Balance,electricity,,
BG_electrolyzer,BG_H_Demand,hydrogen,,
CH_Battery,CH_E_Balance,electricity,,
CH_E_Balance,CH_Battery,electricity,,
CH_E_Balance,CH_E_Demand,electricity,,
CH_E_Balance,CH_Pump_Hydro_Closed,electricity,,
CH_E_Balance,CH_Pump_Hydro_Open,electricity,,
CH_E_Balance,CH_electrolyzer,electricity,,
CH_E_Balance,DE_E_Balance,electricity,1,true
CH_E_Balance,FR_E_Balance,electricity,1,true
CH_E_ENS,CH_E_Demand,electricity,,
CH_Hydro,CH_E_Balance,electricity,,
CH_Nuclear,CH_E_Balance,electricity,,
CH_Pump_Hydro_Closed,CH_E_Balance,electricity,,
CH_Pump_Hydro_Open,CH_E_Balance,electricity,,
