from_asset,to_asset,year,rep_period,specification,partition
AT_Battery,AT_E_Balance,2050,1,uniform,4
AT_E_Balance,AT_Battery,2050,1,uniform,4
AT_E_Balance,AT_E_Demand,2050,1,explicit,9;8;13;3;8;3;13;1;3;1;1;2;2;6;1;7;7;1;3;13;4;3;1;2;6;5;3;7;1;15;1;2;6;6;7;3;6;2;3;11;2;8;2;10;4;7;1;2;11;3;5;1;2;2;14;8;13;3;8;16;7;1;5;11;1;3;3;1;2;4;10;7;1;7;9;2;3;3;2;2;12;1;6;1;16;1;7;7;9;8;7;7;1;9;16;6;2;2;11;2;1;5;1;2;3;12;3;6;2;4;9;2;3;4;2;13;9;4;11;9;6;9;6;3;3;12;3;6;2;13;1;1;7;1;14;2;5;2;2;13;1;4;4;2;13;2;3;4;13;2;4;1;5;9;2;3;10;8;4;2;8;2;14;8;2;5;9;2;7;1;1;6;7;2;7;1;1;12;1;2;8;6;8;2;8;9;5;10;5;3;5;1;2;3;4;1;2;11;1;2;4;1;2;1;2;11;1;2;3;4;1;2;12;2;7;1;2;4;7;1;2;7;1;3;11;2;8;6;6;2;10;14;7;3;1;13;4;3;2;1;5;9;7;2;1;3;9;2;6;4;4;10;1;3;6;4;10;10;14;10;12;2;8;2;13;4;5;2;13;2;6;3;4;2;7;2;8;1;5;3;5;8;3;6;7;2;8;1;5;8;4;7;5;8;2;7;2;2;10;1;2;5;3;1;2;11;2;1;6;2;13;2;8;1;5;8;2;7;2;6;7;1;6;2;2;5;8;10;2;12;2;10;12;10;2;4;8;12;9;3;4;8;12;12;5;7;2;7;3;12;2;7;3;12;2;8;2;9;3;2;1;6;2;1;1;11;8;2;1;9;4;2;10;4;8;2;4;4;2;5;7;8;4;4;8;6;3;3;9;3;4;6;2;5;4;3;12;12;12;5;4;3;6;6;12;9;3;6;6;3;8;1;11;10;3;11;2;5;6;11;2;9;2;11;2;3;8;4;7;2;8;3;11;2;11;6;5;2;8;3;4;7;10;3;11;13;11;2;8;3;11;2;6;2;3;6;5;2;3;8;7;4;2;4;4;3;5;6;4;5;4;11;2;8;3;6;5;2;7;4;11;7;4;2;11;13;3;8;11;2;11;2;6;5;5;6;2;4;5;2;11;2;8;3;4;7;2;2;1;9;10;11;3;10;2;6;6;10;2;6;5;11;2;11;5;6;4;5;5;9;2;4;5;3;5;5;13;2;9;10;4;11;10;3;3;2;5;14;10;4;9;1;10;7;4;3;10;6;3;3;3;9;10;3;2;9;11;4;9;6;6;3;4;5;10;5;8;1;11;4;9;10;5;9;6;5;4;9;3;3;6;3;9;15;5;4;4;3;6;2;9;15;9;6;9;9;11;4;9;4;8;3;9;15;9;8;7;9;15;9;15;9;2;9;4;9;9;6;4;5;11;2;2;9;2;11;2;9;3;2;1;1;5;3;6;3;8;3;4;4;5;2;3;7;3;9;3;4;8;9;4;8;2;1;9;6;2;5;2;6;3;2;11;2;9;15;9;15;9;4;2;6;3;9;15;3;6;6;9;9;6;5;4;9;2;3;7;3;9;12;3;4;5;15;9;4;2;9;9;2;10;3;9;6;9;9;15;9;7;4;4;9;6;4;5;9;9;6;9;6;7;2;9;2;2;5;4;2;9;6;9;9;6;9;9;1;2;2;7;3;9;9;6;9;13;2;5;4;13;2;7;1;1;1;4;1;3;4;2;2;7;10;4;1;2;1;4;2;3;1;9;2;9;15;9;12;3;9;9;1;5;7;2;10;5;9;6;6;3;4;5;12;3;9;10;5;9;4;9;2;3;6;4;9;2;9;3;7;5;9;10;5;3;6;12;3;9;4;9;2;9;6;5;4;3;2;1;1;2;2;4;9;9;10;2;3;9;6;6;3;6;3;8;6;1;2;7;4;5;6;4;5;7;8;9;2;3;7;3;3;6;4;7;4;9;11;4;3;6;4;11;9;4;5;6;9;5;8;2;9;15;10;2;9;3;9;15;9;4;6;5;9;12;3;6;3;5;5;1;4;7;2;4;10;1;9;12;3;9;9;4;2;9;3;2;2;5;3;9;11;4;9;10;5;10;2;3;6;3;10;2;12;8;2;2;3;6;3;8;2;8;6;10;2;9;3;3;7;2;7;4;9;2;3;4;6;8;3;3;11;10;14;10;11;2;6;5;13;11;13;11;2;3;1;2;1;5;2;8;2;4;8;10;13;4;7;13;9;2;5;8;11;2;4;4;2;1;6;5;2;6;5;4;7;2;3;1;5;2;11;2;3;6;2;6;5;2;8;3;5;6;2;8;3;11;2;4;4;3;11;7;4;2;11;10;3;4;7;2;6;5;10;1;7;6;11;10;3;11;2;9;2;7;4;9;4;11;1;5;7;11;9;4;11;4;7;2;11;11;2;5;6;6;4;3;11;13;11;7;3;3;5;6;11;2;11;7;3;2;8;4;5;8;11;9;4;11;13;4;7;2;11;11;2;10;13;8;3;13;11;13;11;4;9;11;4;9;9;2;13;2;9;5;8;6;5;13;2;7;2;13;2;9;13;2;6;3;4;9;2;8;1;4;8;1;2;9;13;8;3;5;3;5;11;13;11;13;11;13;7;1;3;13;11;13;11;13;2;9;13;10;14;11;10;3;11;4;9;11;13;5;2;2;1;14;7;3;14;4;7;13;11;13;4;7;13;10;3;11;4;6;14;10;14;2;6;2;9;5;10;14;10;14;10;7;7;10;1;13;10;14;8;2;5;9;9;1;14;8;2;15;9;15;7;2;15;7;2;4;11;3;5;1;8;5;2;9;12;3;3;5;1;2;4;9;9;7;8;9;10;5;3;5;1;13;2;3;5;1;15;9;8;7;6;3;5;10;9;15;7;2;7;6;2;9;8;7;9;15;6;3;6;9;3;5;8;8;3;6;1;6;8;9;3;4;7;1;7;2;3;4;5;3;2;2;4;1;15;7;2;14;1;9;3;11;1;5;2;2;3;10;1;1;2;5;1;4;10;2;8;4;12;9;4;11;8;5;11;9;15;6;1;2;3;3;8;1;8;4;3;9;2;1;1;3;2;2;13;1;2;1;1;2;2;2;13;1;4;3;1;2;4;9;9;6;9;9;6;8;1;8;1;1;1;4;9;1;6;2;2;6;7;5;4;2;13;8;1;2;2;2;4;4;1;9;7;9;8;6;10;7;17;3;5;1;12;3;8;2;10;4;2;2;1;3;2;4;10;8;2;14;7;8;9;8;6;10;8;8;4;4;8;16;7;1;6;10;8;16;5;1;2;3;12;1;1;3;1;1;1;1;3;9;4;1;7;2;1;7;5;1;8;7;8;1;1;6;1;3;4
AT_E_Balance,AT_Pump_Hydro_Closed,2050,1,uniform,4
AT_E_Balance,AT_Pump_Hydro_Open,2050,1,uniform,4
AT_E_Balance,AT_electrolyzer,2050,1,uniform,4
AT_E_Balance,CH_E_Balance,2050,1,uniform,4
AT_E_Balance,DE_E_Balance,2050,1,uniform,4
AT_E_ENS,AT_E_Demand,2050,1,explicit,9;8;13;3;8;3;13;1;3;1;1;2;2;6;1;7;7;1;3;13;4;3;1;2;6;5;3;7;1;15;1;2;6;6;7;3;6;2;3;11;2;8;2;10;4;7;1;2;11;3;5;1;2;2;14;8;13;3;8;16;7;1;5;11;1;3;3;1;2;4;10;7;1;7;9;2;3;3;2;2;12;1;6;1;16;1;7;7;9;8;7;7;1;9;16;6;2;2;11;2;1;5;1;2;3;12;3;6;2;4;9;2;3;4;2;13;9;4;11;9;6;9;6;3;3;12;3;6;2;13;1;1;7;1;14;2;5;2;2;13;1;4;4;2;13;2;3;4;13;2;4;1;5;9;2;3;10;8;4;2;8;2;14;8;2;5;9;2;7;1;1;6;7;2;7;1;1;12;1;2;8;6;8;2;8;9;5;10;5;3;5;1;2;3;4;1;2;11;1;2;4;1;2;1;2;11;1;2;3;4;1;2;12;2;7;1;2;4;7;1;2;7;1;3;11;2;8;6;6;2;10;14;7;3;1;13;4;3;2;1;5;9;7;2;1;3;9;2;6;4;4;10;1;3;6;4;10;10;14;10;12;2;8;2;13;4;5;2;13;2;6;3;4;2;7;2;8;1;5;3;5;8;3;6;7;2;8;1;5;8;4;7;5;8;2;7;2;2;10;1;2;5;3;1;2;11;2;1;6;2;13;2;8;1;5;8;2;7;2;6;7;1;6;2;2;5;8;10;2;12;2;10;12;10;2;4;8;12;9;3;4;8;12;12;5;7;2;7;3;12;2;7;3;12;2;8;2;9;3;2;1;6;2;1;1;11;8;2;1;9;4;2;10;4;8;2;4;4;2;5;7;8;4;4;8;6;3;3;9;3;4;6;2;5;4;3;12;12;12;5;4;3;6;6;12;9;3;6;6;3;8;1;11;10;3;11;2;5;6;11;2;9;2;11;2;3;8;4;7;2;8;3;11;2;11;6;5;2;8;3;4;7;10;3;11;13;11;2;8;3;11;2;6;2;3;6;5;2;3;8;7;4;2;4;4;3;5;6;4;5;4;11;2;8;3;6;5;2;7;4;11;7;4;2;11;13;3;8;11;2;11;2;6;5;5;6;2;4;5;2;11;2;8;3;4;7;2;2;1;9;10;11;3;10;2;6;6;10;2;6;5;11;2;11;5;6;4;5;5;9;2;4;5;3;5;5;13;2;9;10;4;11;10;3;3;2;5;14;10;4;9;1;10;7;4;3;10;6;3;3;3;9;10;3;2;9;11;4;9;6;6;3;4;5;10;5;8;1;11;4;9;10;5;9;6;5;4;9;3;3;6;3;9;15;5;4;4;3;6;2;9;15;9;6;9;9;11;4;9;4;8;3;9;15;9;8;7;9;15;9;15;9;2;9;4;9;9;6;4;5;11;2;2;9;2;11;2;9;3;2;1;1;5;3;6;3;8;3;4;4;5;2;3;7;3;9;3;4;8;9;4;8;2;1;9;6;2;5;2;6;3;2;11;2;9;15;9;15;9;4;2;6;3;9;15;3;6;6;9;9;6;5;4;9;2;3;7;3;9;12;3;4;5;15;9;4;2;9;9;2;10;3;9;6;9;9;15;9;7;4;4;9;6;4;5;9;9;6;9;6;7;2;9;2;2;5;4;2;9;6;9;9;6;9;9;1;2;2;7;3;9;9;6;9;13;2;5;4;13;2;7;1;1;1;4;1;3;4;2;2;7;10;4;1;2;1;4;2;3;1;9;2;9;15;9;12;3;9;9;1;5;7;2;10;5;9;6;6;3;4;5;12;3;9;10;5;9;4;9;2;3;6;4;9;2;9;3;7;5;9;10;5;3;6;12;3;9;4;9;2;9;6;5;4;3;2;1;1;2;2;4;9;9;10;2;3;9;6;6;3;6;3;8;6;1;2;7;4;5;6;4;5;7;8;9;2;3;7;3;3;6;4;7;4;9;11;4;3;6;4;11;9;4;5;6;9;5;8;2;9;15;10;2;9;3;9;15;9;4;6;5;9;12;3;6;3;5;5;1;4;7;2;4;10;1;9;12;3;9;9;4;2;9;3;2;2;5;3;9;11;4;9;10;5;10;2;3;6;3;10;2;12;8;2;2;3;6;3;8;2;8;6;10;2;9;3;3;7;2;7;4;9;2;3;4;6;8;3;3;11;10;14;10;11;2;6;5;13;11;13;11;2;3;1;2;1;5;2;8;2;4;8;10;13;4;7;13;9;2;5;8;11;2;4;4;2;1;6;5;2;6;5;4;7;2;3;1;5;2;11;2;3;6;2;6;5;2;8;3;5;6;2;8;3;11;2;4;4;3;11;7;4;2;11;10;3;4;7;2;6;5;10;1;7;6;11;10;3;11;2;9;2;7;4;9;4;11;1;5;7;11;9;4;11;4;7;2;11;11;2;5;6;6;4;3;11;13;11;7;3;3;5;6;11;2;11;7;3;2;8;4;5;8;11;9;4;11;13;4;7;2;11;11;2;10;13;8;3;13;11;13;11;4;9;11;4;9;9;2;13;2;9;5;8;6;5;13;2;7;2;13;2;9;13;2;6;3;4;9;2;8;1;4;8;1;2;9;13;8;3;5;3;5;11;13;11;13;11;13;7;1;3;13;11;13;11;13;2;9;13;10;14;11;10;3;11;4;9;11;13;5;2;2;1;14;7;3;14;4;7;13;11;13;4;7;13;10;3;11;4;6;14;10;14;2;6;2;9;5;10;14;10;14;10;7;7;10;1;13;10;14;8;2;5;9;9;1;14;8;2;15;9;15;7;2;15;7;2;4;11;3;5;1;8;5;2;9;12;3;3;5;1;2;4;9;9;7;8;9;10;5;3;5;1;13;2;3;5;1;15;9;8;7;6;3;5;10;9;15;7;2;7;6;2;9;8;7;9;15;6;3;6;9;3;5;8;8;3;6;1;6;8;9;3;4;7;1;7;2;3;4;5;3;2;2;4;1;15;7;2;14;1;9;3;11;1;5;2;2;3;10;1;1;2;5;1;4;10;2;8;4;12;9;4;11;8;5;11;9;15;6;1;2;3;3;8;1;8;4;3;9;2;1;1;3;2;2;13;1;2;1;1;2;2;2;13;1;4;3;1;2;4;9;9;6;9;9;6;8;1;8;1;1;1;4;9;1;6;2;2;6;7;5;4;2;13;8;1;2;2;2;4;4;1;9;7;9;8;6;10;7;17;3;5;1;12;3;8;2;10;4;2;2;1;3;2;4;10;8;2;14;7;8;9;8;6;10;8;8;4;4;8;16;7;1;6;10;8;16;5;1;2;3;12;1;1;3;1;1;1;1;3;9;4;1;7;2;1;7;5;1;8;7;8;1;1;6;1;3;4
AT_Gas,AT_E_Balance,2050,1,uniform,4
