asset,year,partition,rep_period,specification
AT_Battery,2050,30;19;10;22;7;33;15;38;21;70;8;7;6;59;6;8;10;7;17;21;42;59;23;28;43;12;44;16;10;12;13;19;6;19;18;6;24;41;11;20;16;2;7;8;8;7;41;14;18;16;6;18;24;8;16;8;7;9;25;47;31;25;13;29;11;16;40;10;16;8;23;26;9;13;17;9;6;12;12;9;8;25;39;9;15;8;31;33;7;17;9;27;8;11;17;7;9;24;16;49;15;9;21;9;18;15;7;22;19;9;7;20;24;21;16;7;18;79;15;12;43;27;22;25;15;14;10;8;3;13;10;14;8;4;13;6;18;7;16;12;12;23;15;40;10;8;9;14;9;15;8;26;15;15;18;15;12;11;6;18;17;8;10;14;9;23;14;27;9;18;9;10;7;3;15;7;17;14;10;9;7;28;12;23;16;9;16;9;13;15;12;6;7;8;11;18;20;9;17;8;37;41;46;9;18;18;13;11;22;21;3;16;9;31;42;12;12;47;48;18;10;11;22;11;24;13;16;11;13;9;10;14;47;6;18;39;14;7;13;7;4;5;7;5;13;7;18;7;38;12;15;17;24;14;32;63;34;14;10;30;16;17;10;15;9;14;14;10;13;23;15;7;13;9;16;6;18;9;14;10;15;11;11;3;15;35;6;16;23;8;17;25;11;9;12;16;8;36;33;9;17;17;11;11;16;23;9;8;16;14;10;15;8;8;20;6;14;15;46;11;10;28;18;18;24;13;19;37;28;7;15;8;6;48;13;22;9;13;9;7;8;15;24;10;16;8;14;18;21;17;17;9;29;58;18;22;29;14;7;13;11;15;8;13;14;14;7;25;20;9;54;5;11;12;12;19;17;7;15;14;34;28;6;17;11;21;15;8;17;32;15;9;13;41;53;26;16;8;14;36;11;25;11;13;10;16;35;50;11;37;38;10;57;18;64;34;16;14;32;17;25;8;7;15;9;17;13;35;3;5;16;16;35;5;19;5;16;11;6;13;19;30;20;28;32;22;13;23;12;25;12;6;16;7;24;18;21;6;11;10;12;46;16;19;10;7;23;59;12;43;14;10;33;8;10;14;7;5;70;50;12;14;12;10;14;9;13;11;13;13;35;7;41;24;13;25;10;7;17;15,1,explicit
AT_E_Balance,2050,30;19;10;22;7;33;15;38;21;70;8;7;6;59;6;8;10;7;17;21;42;59;23;28;43;12;44;16;10;12;13;19;6;19;18;6;24;41;11;20;16;2;7;8;8;7;41;14;18;16;6;18;24;8;16;8;7;9;25;47;31;25;13;29;11;16;40;10;16;8;23;26;9;13;17;9;6;12;12;9;8;25;39;9;15;8;31;33;7;17;9;27;8;11;17;7;9;24;16;49;15;9;21;9;18;15;7;22;19;9;7;20;24;21;16;7;18;79;15;12;43;27;22;25;15;14;10;8;3;13;10;14;8;4;13;6;18;7;16;12;12;23;15;40;10;8;9;14;9;15;8;26;15;15;18;15;12;11;6;18;17;8;10;14;9;23;14;27;9;18;9;10;7;3;15;7;17;14;10;9;7;28;12;23;16;9;16;9;13;15;12;6;7;8;11;18;20;9;17;8;37;41;46;9;18;18;13;11;22;21;3;16;9;31;42;12;12;47;48;18;10;11;22;11;24;13;16;11;13;9;10;14;47;6;18;39;14;7;13;7;4;5;7;5;13;7;18;7;38;12;15;17;24;14;32;63;34;14;10;30;16;17;10;15;9;14;14;10;13;23;15;7;13;9;16;6;18;9;14;10;15;11;11;3;15;35;6;16;23;8;17;25;11;9;12;16;8;36;33;9;17;17;11;11;16;23;9;8;16;14;10;15;8;8;20;6;14;15;46;11;10;28;18;18;24;13;19;37;28;7;15;8;6;48;13;22;9;13;9;7;8;15;24;10;16;8;14;18;21;17;17;9;29;58;18;22;29;14;7;13;11;15;8;13;14;14;7;25;20;9;54;5;11;12;12;19;17;7;15;14;34;28;6;17;11;21;15;8;17;32;15;9;13;41;53;26;16;8;14;36;11;25;11;13;10;16;35;50;11;37;38;10;57;18;64;34;16;14;32;17;25;8;7;15;9;17;13;35;3;5;16;16;35;5;19;5;16;11;6;13;19;30;20;28;32;22;13;23;12;25;12;6;16;7;24;18;21;6;11;10;12;46;16;19;10;7;23;59;12;43;14;10;33;8;10;14;7;5;70;50;12;14;12;10;14;9;13;11;13;13;35;7;41;24;13;25;10;7;17;15,1,explicit
AT_E_Demand,2050,30;19;10;22;7;33;15;38;21;70;8;7;6;59;6;8;10;7;17;21;42;59;23;28;43;12;44;16;10;12;13;19;6;19;18;6;24;41;11;20;16;2;7;8;8;7;41;14;18;16;6;18;24;8;16;8;7;9;25;47;31;25;13;29;11;16;40;10;16;8;23;26;9;13;17;9;6;12;12;9;8;25;39;9;15;8;31;33;7;17;9;27;8;11;17;7;9;24;16;49;15;9;21;9;18;15;7;22;19;9;7;20;24;21;16;7;18;79;15;12;43;27;22;25;15;14;10;8;3;13;10;14;8;4;13;6;18;7;16;12;12;23;15;40;10;8;9;14;9;15;8;26;15;15;18;15;12;11;6;18;17;8;10;14;9;23;14;27;9;18;9;10;7;3;15;7;17;14;10;9;7;28;12;23;16;9;16;9;13;15;12;6;7;8;11;18;20;9;17;8;37;41;46;9;18;18;13;11;22;21;3;16;9;31;42;12;12;47;48;18;10;11;22;11;24;13;16;11;13;9;10;14;47;6;18;39;14;7;13;7;4;5;7;5;13;7;18;7;38;12;15;17;24;14;32;63;34;14;10;30;16;17;10;15;9;14;14;10;13;23;15;7;13;9;16;6;18;9;14;10;15;11;11;3;15;35;6;16;23;8;17;25;11;9;12;16;8;36;33;9;17;17;11;11;16;23;9;8;16;14;10;15;8;8;20;6;14;15;46;11;10;28;18;18;24;13;19;37;28;7;15;8;6;48;13;22;9;13;9;7;8;15;24;10;16;8;14;18;21;17;17;9;29;58;18;22;29;14;7;13;11;15;8;13;14;14;7;25;20;9;54;5;11;12;12;19;17;7;15;14;34;28;6;17;11;21;15;8;17;32;15;9;13;41;53;26;16;8;14;36;11;25;11;13;10;16;35;50;11;37;38;10;57;18;64;34;16;14;32;17;25;8;7;15;9;17;13;35;3;5;16;16;35;5;19;5;16;11;6;13;19;30;20;28;32;22;13;23;12;25;12;6;16;7;24;18;21;6;11;10;12;46;16;19;10;7;23;59;12;43;14;10;33;8;10;14;7;5;70;50;12;14;12;10;14;9;13;11;13;13;35;7;41;24;13;25;10;7;17;15,1,explicit
AT_E_ENS,2050,30;19;10;22;7;33;15;38;21;70;8;7;6;59;6;8;10;7;17;21;42;59;23;28;43;12;44;16;10;12;13;19;6;19;18;6;24;41;11;20;16;2;7;8;8;7;41;14;18;16;6;18;24;8;16;8;7;9;25;47;31;25;13;29;11;16;40;10;16;8;23;26;9;13;17;9;6;12;12;9;8;25;39;9;15;8;31;33;7;17;9;27;8;11;17;7;9;24;16;49;15;9;21;9;18;15;7;22;19;9;7;20;24;21;16;7;18;79;15;12;43;27;22;25;15;14;10;8;3;13;10;14;8;4;13;6;18;7;16;12;12;23;15;40;10;8;9;14;9;15;8;26;15;15;18;15;12;11;6;18;17;8;10;14;9;23;14;27;9;18;9;10;7;3;15;7;17;14;10;9;7;28;12;23;16;9;16;9;13;15;12;6;7;8;11;18;20;9;17;8;37;41;46;9;18;18;13;11;22;21;3;16;9;31;42;12;12;47;48;18;10;11;22;11;24;13;16;11;13;9;10;14;47;6;18;39;14;7;13;7;4;5;7;5;13;7;18;7;38;12;15;17;24;14;32;63;34;14;10;30;16;17;10;15;9;14;14;10;13;23;15;7;13;9;16;6;18;9;14;10;15;11;11;3;15;35;6;16;23;8;17;25;11;9;12;16;8;36;33;9;17;17;11;11;16;23;9;8;16;14;10;15;8;8;20;6;14;15;46;11;10;28;18;18;24;13;19;37;28;7;15;8;6;48;13;22;9;13;9;7;8;15;24;10;16;8;14;18;21;17;17;9;29;58;18;22;29;14;7;13;11;15;8;13;14;14;7;25;20;9;54;5;11;12;12;19;17;7;15;14;34;28;6;17;11;21;15;8;17;32;15;9;13;41;53;26;16;8;14;36;11;25;11;13;10;16;35;50;11;37;38;10;57;18;64;34;16;14;32;17;25;8;7;15;9;17;13;35;3;5;16;16;35;5;19;5;16;11;6;13;19;30;20;28;32;22;13;23;12;25;12;6;16;7;24;18;21;6;11;10;12;46;16;19;10;7;23;59;12;43;14;10;33;8;10;14;7;5;70;50;12;14;12;10;14;9;13;11;13;13;35;7;41;24;13;25;10;7;17;15,1,explicit
AT_Gas,2050,30;19;10;22;7;33;15;38;21;70;8;7;6;59;6;8;10;7;17;21;42;59;23;28;43;12;44;16;10;12;13;19;6;19;18;6;24;41;11;20;16;2;7;8;8;7;41;14;18;16;6;18;24;8;16;8;7;9;25;47;31;25;13;29;11;16;40;10;16;8;23;26;9;13;17;9;6;12;12;9;8;25;39;9;15;8;31;33;7;17;9;27;8;11;17;7;9;24;16;49;15;9;21;9;18;15;7;22;19;9;7;20;24;21;16;7;18;79;15;12;43;27;22;25;15;14;10;8;3;13;10;14;8;4;13;6;18;7;16;12;12;23;15;40;10;8;9;14;9;15;8;26;15;15;18;15;12;11;6;18;17;8;10;14;9;23;14;27;9;18;9;10;7;3;15;7;17;14;10;9;7;28;12;23;16;9;16;9;13;15;12;6;7;8;11;18;20;9;17;8;37;41;46;9;18;18;13;11;22;21;3;16;9;31;42;12;12;47;48;18;10;11;22;11;24;13;16;11;13;9;10;14;47;6;18;39;14;7;13;7;4;5;7;5;13;7;18;7;38;12;15;17;24;14;32;63;34;14;10;30;16;17;10;15;9;14;14;10;13;23;15;7;13;9;16;6;18;9;14;10;15;11;11;3;15;35;6;16;23;8;17;25;11;9;12;16;8;36;33;9;17;17;11;11;16;23;9;8;16;14;10;15;8;8;20;6;14;15;46;11;10;28;18;18;24;13;19;37;28;7;15;8;6;48;13;22;9;13;9;7;8;15;24;10;16;8;14;18;21;17;17;9;29;58;18;22;29;14;7;13;11;15;8;13;14;14;7;25;20;9;54;5;11;12;12;19;17;7;15;14;34;28;6;17;11;21;15;8;17;32;15;9;13;41;53;26;16;8;14;36;11;25;11;13;10;16;35;50;11;37;38;10;57;18;64;34;16;14;32;17;25;8;7;15;9;17;13;35;3;5;16;16;35;5;19;5;16;11;6;13;19;30;20;28;32;22;13;23;12;25;12;6;16;7;24;18;21;6;11;10;12;46;16;19;10;7;23;59;12;43;14;10;33;8;10;14;7;5;70;50;12;14;12;10;14;9;13;11;13;13;35;7;41;24;13;25;10;7;17;15,1,explicit
AT_H_Demand,2050,30;19;10;22;7;33;15;38;21;70;8;7;6;59;6;8;10;7;17;21;42;59;23;28;43;12;44;16;10;12;13;19;6;19;18;6;24;41;11;20;16;2;7;8;8;7;41;14;18;16;6;18;24;8;16;8;7;9;25;47;31;25;13;29;11;16;40;10;16;8;23;26;9;13;17;9;6;12;12;9;8;25;39;9;15;8;31;33;7;17;9;27;8;11;17;7;9;24;16;49;15;9;21;9;18;15;7;22;19;9;7;20;24;21;16;7;18;79;15;12;43;27;22;25;15;14;10;8;3;13;10;14;8;4;13;6;18;7;16;12;12;23;15;40;10;8;9;14;9;15;8;26;15;15;18;15;12;11;6;18;17;8;10;14;9;23;14;27;9;18;9;10;7;3;15;7;17;14;10;9;7;28;12;23;16;9;16;9;13;15;12;6;7;8;11;18;20;9;17;8;37;41;46;9;18;18;13;11;22;21;3;16;9;31;42;12;12;47;48;18;10;11;22;11;24;13;16;11;13;9;10;14;47;6;18;39;14;7;13;7;4;5;7;5;13;7;18;7;38;12;15;17;24;14;32;63;34;14;10;30;16;17;10;15;9;14;14;10;13;23;15;7;13;9;16;6;18;9;14;10;15;11;11;3;15;35;6;16;23;8;17;25;11;9;12;16;8;36;33;9;17;17;11;11;16;23;9;8;16;14;10;15;8;8;20;6;14;15;46;11;10;28;18;18;24;13;19;37;28;7;15;8;6;48;13;22;9;13;9;7;8;15;24;10;16;8;14;18;21;17;17;9;29;58;18;22;29;14;7;13;11;15;8;13;14;14;7;25;20;9;54;5;11;12;12;19;17;7;15;14;34;28;6;17;11;21;15;8;17;32;15;9;13;41;53;26;16;8;14;36;11;25;11;13;10;16;35;50;11;37;38;10;57;18;64;34;16;14;32;17;25;8;7;15;9;17;13;35;3;5;16;16;35;5;19;5;16;11;6;13;19;30;20;28;32;22;13;23;12;25;12;6;16;7;24;18;21;6;11;10;12;46;16;19;10;7;23;59;12;43;14;10;33;8;10;14;7;5;70;50;12;14;12;10;14;9;13;11;13;13;35;7;41;24;13;25;10;7;17;15,1,explicit
AT_Hydro,2050,30;19;10;22;7;33;15;38;21;70;8;7;6;59;6;8;10;7;17;21;42;59;23;28;43;12;44;16;10;12;13;19;6;19;18;6;24;41;11;20;16;2;7;8;8;7;41;14;18;16;6;18;24;8;16;8;7;9;25;47;31;25;13;29;11;16;40;10;16;8;23;26;9;13;17;9;6;12;12;9;8;25;39;9;15;8;31;33;7;17;9;27;8;11;17;7;9;24;16;49;15;9;21;9;18;15;7;22;19;9;7;20;24;21;16;7;18;79;15;12;43;27;22;25;15;14;10;8;3;13;10;14;8;4;13;6;18;7;16;12;12;23;15;40;10;8;9;14;9;15;8;26;15;15;18;15;12;11;6;18;17;8;10;14;9;23;14;27;9;18;9;10;7;3;15;7;17;14;10;9;7;28;12;23;16;9;16;9;13;15;12;6;7;8;11;18;20;9;17;8;37;41;46;9;18;18;13;11;22;21;3;16;9;31;42;12;12;47;48;18;10;11;22;11;24;13;16;11;13;9;10;14;47;6;18;39;14;7;13;7;4;5;7;5;13;7;18;7;38;12;15;17;24;14;32;63;34;14;10;30;16;17;10;15;9;14;14;10;13;23;15;7;13;9;16;6;18;9;14;10;15;11;11;3;15;35;6;16;23;8;17;25;11;9;12;16;8;36;33;9;17;17;11;11;16;23;9;8;16;14;10;15;8;8;20;6;14;15;46;11;10;28;18;18;24;13;19;37;28;7;15;8;6;48;13;22;9;13;9;7;8;15;24;10;16;8;14;18;21;17;17;9;29;58;18;22;29;14;7;13;11;15;8;13;14;14;7;25;20;9;54;5;11;12;12;19;17;7;15;14;34;28;6;17;11;21;15;8;17;32;15;9;13;41;53;26;16;8;14;36;11;25;11;13;10;16;35;50;11;37;38;10;57;18;64;34;16;14;32;17;25;8;7;15;9;17;13;35;3;5;16;16;35;5;19;5;16;11;6;13;19;30;20;28;32;22;13;23;12;25;12;6;16;7;24;18;21;6;11;10;12;46;16;19;10;7;23;59;12;43;14;10;33;8;10;14;7;5;70;50;12;14;12;10;14;9;13;11;13;13;35;7;41;24;13;25;10;7;17;15,1,explicit
AT_Hydro_Reservoir,2050,30;19;10;22;7;33;15;38;21;70;8;7;6;59;6;8;10;7;17;21;42;59;23;28;43;12;44;16;10;12;13;19;6;19;18;6;24;41;11;20;16;2;7;8;8;7;41;14;18;16;6;18;24;8;16;8;7;9;25;47;31;25;13;29;11;16;40;10;16;8;23;26;9;13;17;9;6;12;12;9;8;25;39;9;15;8;31;33;7;17;9;27;8;11;17;7;9;24;16;49;15;9;21;9;18;15;7;22;19;9;7;20;24;21;16;7;18;79;15;12;43;27;22;25;15;14;10;8;3;13;10;14;8;4;13;6;18;7;16;12;12;23;15;40;10;8;9;14;9;15;8;26;15;15;18;15;12;11;6;18;17;8;10;14;9;23;14;27;9;18;9;10;7;3;15;7;17;14;10;9;7;28;12;23;16;9;16;9;13;15;12;6;7;8;11;18;20;9;17;8;37;41;46;9;18;18;13;11;22;21;3;16;9;31;42;12;12;47;48;18;10;11;22;11;24;13;16;11;13;9;10;14;47;6;18;39;14;7;13;7;4;5;7;5;13;7;18;7;38;12;15;17;24;14;32;63;34;14;10;30;16;17;10;15;9;14;14;10;13;23;15;7;13;9;16;6;18;9;14;10;15;11;11;3;15;35;6;16;23;8;17;25;11;9;12;16;8;36;33;9;17;17;11;11;16;23;9;8;16;14;10;15;8;8;20;6;14;15;46;11;10;28;18;18;24;13;19;37;28;7;15;8;6;48;13;22;9;13;9;7;8;15;24;10;16;8;14;18;21;17;17;9;29;58;18;22;29;14;7;13;11;15;8;13;14;14;7;25;20;9;54;5;11;12;12;19;17;7;15;14;34;28;6;17;11;21;15;8;17;32;15;9;13;41;53;26;16;8;14;36;11;25;11;13;10;16;35;50;11;37;38;10;57;18;64;34;16;14;32;17;25;8;7;15;9;17;13;35;3;5;16;16;35;5;19;5;16;11;6;13;19;30;20;28;32;22;13;23;12;25;12;6;16;7;24;18;21;6;11;10;12;46;16;19;10;7;23;59;12;43;14;10;33;8;10;14;7;5;70;50;12;14;12;10;14;9;13;11;13;13;35;7;41;24;13;25;10;7;17;15,1,explicit
AT_Pump_Hydro_Closed,2050,30;19;10;22;7;33;15;38;21;70;8;7;6;59;6;8;10;7;17;21;42;59;23;28;43;12;44;16;10;12;13;19;6;19;18;6;24;41;11;20;16;2;7;8;8;7;41;14;18;16;6;18;24;8;16;8;7;9;25;47;31;25;13;29;11;16;40;10;16;8;23;26;9;13;17;9;6;12;12;9;8;25;39;9;15;8;31;33;7;17;9;27;8;11;17;7;9;24;16;49;15;9;21;9;18;15;7;22;19;9;7;20;24;21;16;7;18;79;15;12;43;27;22;25;15;14;10;8;3;13;10;14;8;4;13;6;18;7;16;12;12;23;15;40;10;8;9;14;9;15;8;26;15;15;18;15;12;11;6;18;17;8;10;14;9;23;14;27;9;18;9;10;7;3;15;7;17;14;10;9;7;28;12;23;16;9;16;9;13;15;12;6;7;8;11;18;20;9;17;8;37;41;46;9;18;18;13;11;22;21;3;16;9;31;42;12;12;47;48;18;10;11;22;11;24;13;16;11;13;9;10;14;47;6;18;39;14;7;13;7;4;5;7;5;13;7;18;7;38;12;15;17;24;14;32;63;34;14;10;30;16;17;10;15;9;14;14;10;13;23;15;7;13;9;16;6;18;9;14;10;15;11;11;3;15;35;6;16;23;8;17;25;11;9;12;16;8;36;33;9;17;17;11;11;16;23;9;8;16;14;10;15;8;8;20;6;14;15;46;11;10;28;18;18;24;13;19;37;28;7;15;8;6;48;13;22;9;13;9;7;8;15;24;10;16;8;14;18;21;17;17;9;29;58;18;22;29;14;7;13;11;15;8;13;14;14;7;25;20;9;54;5;11;12;12;19;17;7;15;14;34;28;6;17;11;21;15;8;17;32;15;9;13;41;53;26;16;8;14;36;11;25;11;13;10;16;35;50;11;37;38;10;57;18;64;34;16;14;32;17;25;8;7;15;9;17;13;35;3;5;16;16;35;5;19;5;16;11;6;13;19;30;20;28;32;22;13;23;12;25;12;6;16;7;24;18;21;6;11;10;12;46;16;19;10;7;23;59;12;43;14;10;33;8;10;14;7;5;70;50;12;14;12;10;14;9;13;11;13;13;35;7;41;24;13;25;10;7;17;15,1,explicit
AT_Pump_Hydro_Open,2050,30;19;10;22;7;33;15;38;21;70;8;7;6;59;6;8;10;7;17;21;42;59;23;28;43;12;44;16;10;12;13;19;6;19;18;6;24;41;11;20;16;2;7;8;8;7;41;14;18;16;6;18;24;8;16;8;7;9;25;47;31;25;13;29;11;16;40;10;16;8;23;26;9;13;17;9;6;12;12;9;8;25;39;9;15;8;31;33;7;17;9;27;8;11;17;7;9;24;16;49;15;9;21;9;18;15;7;22;19;9;7;20;24;21;16;7;18;79;15;12;43;27;22;25;15;14;10;8;3;13;10;14;8;4;13;6;18;7;16;12;12;23;15;40;10;8;9;14;9;15;8;26;15;15;18;15;12;11;6;18;17;8;10;14;9;23;14;27;9;18;9;10;7;3;15;7;17;14;10;9;7;28;12;23;16;9;16;9;13;15;12;6;7;8;11;18;20;9;17;8;37;41;46;9;18;18;13;11;22;21;3;16;9;31;42;12;12;47;48;18;10;11;22;11;24;13;16;11;13;9;10;14;47;6;18;39;14;7;13;7;4;5;7;5;13;7;18;7;38;12;15;17;24;14;32;63;34;14;10;30;16;17;10;15;9;14;14;10;13;23;15;7;13;9;16;6;18;9;14;10;15;11;11;3;15;35;6;16;23;8;17;25;11;9;12;16;8;36;33;9;17;17;11;11;16;23;9;8;16;14;10;15;8;8;20;6;14;15;46;11;10;28;18;18;24;13;19;37;28;7;15;8;6;48;13;22;9;13;9;7;8;15;24;10;16;8;14;18;21;17;17;9;29;58;18;22;29;14;7;13;11;15;8;13;14;14;7;25;20;9;54;5;11;12;12;19;17;7;15;14;34;28;6;17;11;21;15;8;17;32;15;9;13;41;53;26;16;8;14;36;11;25;11;13;10;16;35;50;11;37;38;10;57;18;64;34;16;14;32;17;25;8;7;15;9;17;13;35;3;5;16;16;35;5;19;5;16;11;6;13;19;30;20;28;32;22;13;23;12;25;12;6;16;7;24;18;21;6;11;10;12;46;16;19;10;7;23;59;12;43;14;10;33;8;10;14;7;5;70;50;12;14;12;10;14;9;13;11;13;13;35;7;41;24;13;25;10;7;17;15,1,explicit
