from_asset,to_asset,year,rep_period,specification,partition
AT_Battery,AT_E_Balance,2050,1,explicit,30;19;10;22;7;33;15;38;21;70;8;7;6;59;6;8;10;7;17;21;42;59;23;28;43;12;44;16;10;12;13;19;6;19;18;6;24;41;11;20;16;2;7;8;8;7;41;14;18;16;6;18;24;8;16;8;7;9;25;47;31;25;13;29;11;16;40;10;16;8;23;26;9;13;17;9;6;12;12;9;8;25;39;9;15;8;31;33;7;17;9;27;8;11;17;7;9;24;16;49;15;9;21;9;18;15;7;22;19;9;7;20;24;21;16;7;18;79;15;12;43;27;22;25;15;14;10;8;3;13;10;14;8;4;13;6;18;7;16;12;12;23;15;40;10;8;9;14;9;15;8;26;15;15;18;15;12;11;6;18;17;8;10;14;9;23;14;27;9;18;9;10;7;3;15;7;17;14;10;9;7;28;12;23;16;9;16;9;13;15;12;6;7;8;11;18;20;9;17;8;37;41;46;9;18;18;13;11;22;21;3;16;9;31;42;12;12;47;48;18;10;11;22;11;24;13;16;11;13;9;10;14;47;6;18;39;14;7;13;7;4;5;7;5;13;7;18;7;38;12;15;17;24;14;32;63;34;14;10;30;16;17;10;15;9;14;14;10;13;23;15;7;13;9;16;6;18;9;14;10;15;11;11;3;15;35;6;16;23;8;17;25;11;9;12;16;8;36;33;9;17;17;11;11;16;23;9;8;16;14;10;15;8;8;20;6;14;15;46;11;10;28;18;18;24;13;19;37;28;7;15;8;6;48;13;22;9;13;9;7;8;15;24;10;16;8;14;18;21;17;17;9;29;58;18;22;29;14;7;13;11;15;8;13;14;14;7;25;20;9;54;5;11;12;12;19;17;7;15;14;34;28;6;17;11;21;15;8;17;32;15;9;13;41;53;26;16;8;14;36;11;25;11;13;10;16;35;50;11;37;38;10;57;18;64;34;16;14;32;17;25;8;7;15;9;17;13;35;3;5;16;16;35;5;19;5;16;11;6;13;19;30;20;28;32;22;13;23;12;25;12;6;16;7;24;18;21;6;11;10;12;46;16;19;10;7;23;59;12;43;14;10;33;8;10;14;7;5;70;50;12;14;12;10;14;9;13;11;13;13;35;7;41;24;13;25;10;7;17;15
AT_E_Balance,AT_Battery,2050,1,explicit,30;19;10;22;7;33;15;38;21;70;8;7;6;59;6;8;10;7;17;21;42;59;23;28;43;12;44;16;10;12;13;19;6;19;18;6;24;41;11;20;16;2;7;8;8;7;41;14;18;16;6;18;24;8;16;8;7;9;25;47;31;25;13;29;11;16;40;10;16;8;23;26;9;13;17;9;6;12;12;9;8;25;39;9;15;8;31;33;7;17;9;27;8;11;17;7;9;24;16;49;15;9;21;9;18;15;7;22;19;9;7;20;24;21;16;7;18;79;15;12;43;27;22;25;15;14;10;8;3;13;10;14;8;4;13;6;18;7;16;12;12;23;15;40;10;8;9;14;9;15;8;26;15;15;18;15;12;11;6;18;17;8;10;14;9;23;14;27;9;18;9;10;7;3;15;7;17;14;10;9;7;28;12;23;16;9;16;9;13;15;12;6;7;8;11;18;20;9;17;8;37;41;46;9;18;18;13;11;22;21;3;16;9;31;42;12;12;47;48;18;10;11;22;11;24;13;16;11;13;9;10;14;47;6;18;39;14;7;13;7;4;5;7;5;13;7;18;7;38;12;15;17;24;14;32;63;34;14;10;30;16;17;10;15;9;14;14;10;13;23;15;7;13;9;16;6;18;9;14;10;15;11;11;3;15;35;6;16;23;8;17;25;11;9;12;16;8;36;33;9;17;17;11;11;16;23;9;8;16;14;10;15;8;8;20;6;14;15;46;11;10;28;18;18;24;13;19;37;28;7;15;8;6;48;13;22;9;13;9;7;8;15;24;10;16;8;14;18;21;17;17;9;29;58;18;22;29;14;7;13;11;15;8;13;14;14;7;25;20;9;54;5;11;12;12;19;17;7;15;14;34;28;6;17;11;21;15;8;17;32;15;9;13;41;53;26;16;8;14;36;11;25;11;13;10;16;35;50;11;37;38;10;57;18;64;34;16;14;32;17;25;8;7;15;9;17;13;35;3;5;16;16;35;5;19;5;16;11;6;13;19;30;20;28;32;22;13;23;12;25;12;6;16;7;24;18;21;6;11;10;12;46;16;19;10;7;23;59;12;43;14;10;33;8;10;14;7;5;70;50;12;14;12;10;14;9;13;11;13;13;35;7;41;24;13;25;10;7;17;15
AT_E_Balance,AT_E_Demand,2050,1,explicit,30;19;10;22;7;33;15;38;21;70;8;7;6;59;6;8;10;7;17;21;42;59;23;28;43;12;44;16;10;12;13;19;6;19;18;6;24;41;11;20;16;2;7;8;8;7;41;14;18;16;6;18;24;8;16;8;7;9;25;47;31;25;13;29;11;16;40;10;16;8;23;26;9;13;17;9;6;12;12;9;8;25;39;9;15;8;31;33;7;17;9;27;8;11;17;7;9;24;16;49;15;9;21;9;18;15;7;22;19;9;7;20;24;21;16;7;18;79;15;12;43;27;22;25;15;14;10;8;3;13;10;14;8;4;13;6;18;7;16;12;12;23;15;40;10;8;9;14;9;15;8;26;15;15;18;15;12;11;6;18;17;8;10;14;9;23;14;27;9;18;9;10;7;3;15;7;17;14;10;9;7;28;12;23;16;9;16;9;13;15;12;6;7;8;11;18;20;9;17;8;37;41;46;9;18;18;13;11;22;21;3;16;9;31;42;12;12;47;48;18;10;11;22;11;24;13;16;11;13;9;10;14;47;6;18;39;14;7;13;7;4;5;7;5;13;7;18;7;38;12;15;17;24;14;32;63;34;14;10;30;16;17;10;15;9;14;14;10;13;23;15;7;13;9;16;6;18;9;14;10;15;11;11;3;15;35;6;16;23;8;17;25;11;9;12;16;8;36;33;9;17;17;11;11;16;23;9;8;16;14;10;15;8;8;20;6;14;15;46;11;10;28;18;18;24;13;19;37;28;7;15;8;6;48;13;22;9;13;9;7;8;15;24;10;16;8;14;18;21;17;17;9;29;58;18;22;29;14;7;13;11;15;8;13;14;14;7;25;20;9;54;5;11;12;12;19;17;7;15;14;34;28;6;17;11;21;15;8;17;32;15;9;13;41;53;26;16;8;14;36;11;25;11;13;10;16;35;50;11;37;38;10;57;18;64;34;16;14;32;17;25;8;7;15;9;17;13;35;3;5;16;16;35;5;19;5;16;11;6;13;19;30;20;28;32;22;13;23;12;25;12;6;16;7;24;18;21;6;11;10;12;46;16;19;10;7;23;59;12;43;14;10;33;8;10;14;7;5;70;50;12;14;12;10;14;9;13;11;13;13;35;7;41;24;13;25;10;7;17;15
AT_E_Balance,AT_Pump_Hydro_Closed,2050,1,explicit,30;19;10;22;7;33;15;38;21;70;8;7;6;59;6;8;10;7;17;21;42;59;23;28;43;12;44;16;10;12;13;19;6;19;18;6;24;41;11;20;16;2;7;8;8;7;41;14;18;16;6;18;24;8;16;8;7;9;25;47;31;25;13;29;11;16;40;10;16;8;23;26;9;13;17;9;6;12;12;9;8;25;39;9;15;8;31;33;7;17;9;27;8;11;17;7;9;24;16;49;15;9;21;9;18;15;7;22;19;9;7;20;24;21;16;7;18;79;15;12;43;27;22;25;15;14;10;8;3;13;10;14;8;4;13;6;18;7;16;12;12;23;15;40;10;8;9;14;9;15;8;26;15;15;18;15;12;11;6;18;17;8;10;14;9;23;14;27;9;18;9;10;7;3;15;7;17;14;10;9;7;28;12;23;16;9;16;9;13;15;12;6;7;8;11;18;20;9;17;8;37;41;46;9;18;18;13;11;22;21;3;16;9;31;42;12;12;47;48;18;10;11;22;11;24;13;16;11;13;9;10;14;47;6;18;39;14;7;13;7;4;5;7;5;13;7;18;7;38;12;15;17;24;14;32;63;34;14;10;30;16;17;10;15;9;14;14;10;13;23;15;7;13;9;16;6;18;9;14;10;15;11;11;3;15;35;6;16;23;8;17;25;11;9;12;16;8;36;33;9;17;17;11;11;16;23;9;8;16;14;10;15;8;8;20;6;14;15;46;11;10;28;18;18;24;13;19;37;28;7;15;8;6;48;13;22;9;13;9;7;8;15;24;10;16;8;14;18;21;17;17;9;29;58;18;22;29;14;7;13;11;15;8;13;14;14;7;25;20;9;54;5;11;12;12;19;17;7;15;14;34;28;6;17;11;21;15;8;17;32;15;9;13;41;53;26;16;8;14;36;11;25;11;13;10;16;35;50;11;37;38;10;57;18;64;34;16;14;32;17;25;8;7;15;9;17;13;35;3;5;16;16;35;5;19;5;16;11;6;13;19;30;20;28;32;22;13;23;12;25;12;6;16;7;24;18;21;6;11;10;12;46;16;19;10;7;23;59;12;43;14;10;33;8;10;14;7;5;70;50;12;14;12;10;14;9;13;11;13;13;35;7;41;24;13;25;10;7;17;15
AT_E_Balance,AT_Pump_Hydro_Open,2050,1,explicit,30;19;10;22;7;33;15;38;21;70;8;7;6;59;6;8;10;7;17;21;42;59;23;28;43;12;44;16;10;12;13;19;6;19;18;6;24;41;11;20;16;2;7;8;8;7;41;14;18;16;6;18;24;8;16;8;7;9;25;47;31;25;13;29;11;16;40;10;16;8;23;26;9;13;17;9;6;12;12;9;8;25;39;9;15;8;31;33;7;17;9;27;8;11;17;7;9;24;16;49;15;9;21;9;18;15;7;22;19;9;7;20;24;21;16;7;18;79;15;12;43;27;22;25;15;14;10;8;3;13;10;14;8;4;13;6;18;7;16;12;12;23;15;40;10;8;9;14;9;15;8;26;15;15;18;15;12;11;6;18;17;8;10;14;9;23;14;27;9;18;9;10;7;3;15;7;17;14;10;9;7;28;12;23;16;9;16;9;13;15;12;6;7;8;11;18;20;9;17;8;37;41;46;9;18;18;13;11;22;21;3;16;9;31;42;12;12;47;48;18;10;11;22;11;24;13;16;11;13;9;10;14;47;6;18;39;14;7;13;7;4;5;7;5;13;7;18;7;38;12;15;17;24;14;32;63;34;14;10;30;16;17;10;15;9;14;14;10;13;23;15;7;13;9;16;6;18;9;14;10;15;11;11;3;15;35;6;16;23;8;17;25;11;9;12;16;8;36;33;9;17;17;11;11;16;23;9;8;16;14;10;15;8;8;20;6;14;15;46;11;10;28;18;18;24;13;19;37;28;7;15;8;6;48;13;22;9;13;9;7;8;15;24;10;16;8;14;18;21;17;17;9;29;58;18;22;29;14;7;13;11;15;8;13;14;14;7;25;20;9;54;5;11;12;12;19;17;7;15;14;34;28;6;17;11;21;15;8;17;32;15;9;13;41;53;26;16;8;14;36;11;25;11;13;10;16;35;50;11;37;38;10;57;18;64;34;16;14;32;17;25;8;7;15;9;17;13;35;3;5;16;16;35;5;19;5;16;11;6;13;19;30;20;28;32;22;13;23;12;25;12;6;16;7;24;18;21;6;11;10;12;46;16;19;10;7;23;59;12;43;14;10;33;8;10;14;7;5;70;50;12;14;12;10;14;9;13;11;13;13;35;7;41;24;13;25;10;7;17;15
AT_E_Balance,AT_electrolyzer,2050,1,explicit,30;19;10;22;7;33;15;38;21;70;8;7;6;59;6;8;10;7;17;21;42;59;23;28;43;12;44;16;10;12;13;19;6;19;18;6;24;41;11;20;16;2;7;8;8;7;41;14;18;16;6;18;24;8;16;8;7;9;25;47;31;25;13;29;11;16;40;10;16;8;23;26;9;13;17;9;6;12;12;9;8;25;39;9;15;8;31;33;7;17;9;27;8;11;17;7;9;24;16;49;15;9;21;9;18;15;7;22;19;9;7;20;24;21;16;7;18;79;15;12;43;27;22;25;15;14;10;8;3;13;10;14;8;4;13;6;18;7;16;12;12;23;15;40;10;8;9;14;9;15;8;26;15;15;18;15;12;11;6;18;17;8;10;14;9;23;14;27;9;18;9;10;7;3;15;7;17;14;10;9;7;28;12;23;16;9;16;9;13;15;12;6;7;8;11;18;20;9;17;8;37;41;46;9;18;18;13;11;22;21;3;16;9;31;42;12;12;47;48;18;10;11;22;11;24;13;16;11;13;9;10;14;47;6;18;39;14;7;13;7;4;5;7;5;13;7;18;7;38;12;15;17;24;14;32;63;34;14;10;30;16;17;10;15;9;14;14;10;13;23;15;7;13;9;16;6;18;9;14;10;15;11;11;3;15;35;6;16;23;8;17;25;11;9;12;16;8;36;33;9;17;17;11;11;16;23;9;8;16;14;10;15;8;8;20;6;14;15;46;11;10;28;18;18;24;13;19;37;28;7;15;8;6;48;13;22;9;13;9;7;8;15;24;10;16;8;14;18;21;17;17;9;29;58;18;22;29;14;7;13;11;15;8;13;14;14;7;25;20;9;54;5;11;12;12;19;17;7;15;14;34;28;6;17;11;21;15;8;17;32;15;9;13;41;53;26;16;8;14;36;11;25;11;13;10;16;35;50;11;37;38;10;57;18;64;34;16;14;32;17;25;8;7;15;9;17;13;35;3;5;16;16;35;5;19;5;16;11;6;13;19;30;20;28;32;22;13;23;12;25;12;6;16;7;24;18;21;6;11;10;12;46;16;19;10;7;23;59;12;43;14;10;33;8;10;14;7;5;70;50;12;14;12;10;14;9;13;11;13;13;35;7;41;24;13;25;10;7;17;15
AT_E_Balance,CH_E_Balance,2050,1,explicit,23;7;19;10;2;18;2;7;33;15;6;13;5;12;2;16;5;55;15;8;7;6;18;31;10;6;8;10;7;15;2;21;4;38;35;14;10;15;8;28;6;10;4;18;5;8;4;9;29;6;11;5;10;12;13;13;6;2;4;14;5;17;1;6;1;18;5;5;14;22;11;20;16;2;1;6;6;2;8;2;5;7;10;21;3;2;12;18;16;6;18;7;13;4;8;3;13;2;6;7;9;25;1;14;10;18;4;13;11;7;7;12;6;13;5;13;5;6;11;1;15;27;13;3;7;6;10;8;23;8;10;8;9;9;4;3;5;9;2;7;1;5;6;6;6;6;9;8;2;11;12;7;9;8;15;1;8;15;1;7;8;9;12;2;18;15;1;6;2;5;7;3;1;8;16;9;2;8;4;7;3;14;2;5;1;8;9;15;9;7;16;33;15;8;1;8;7;6;6;3;1;17;15;7;8;14;1;6;12;9;3;4;9;7;4;5;15;4;21;16;7;18;14;11;6;27;8;11;2;15;2;8;2;12;9;22;10;16;1;22;1;8;16;1;14;8;6;10;8;1;2;13;10;14;8;4;13;6;18;7;2;14;10;2;12;20;3;10;5;13;6;15;6;3;7;7;1;9;14;9;2;10;3;8;3;14;9;1;14;4;11;9;9;15;2;6;4;11;6;4;14;1;13;3;7;1;6;4;1;9;4;9;12;11;6;8;13;4;10;5;4;15;3;6;3;10;1;6;3;6;9;7;17;7;7;10;8;1;6;1;28;12;19;2;2;16;1;8;1;14;1;8;1;11;2;15;12;6;4;3;8;1;10;18;7;13;9;12;5;2;6;18;19;1;27;7;6;10;9;24;3;9;4;8;5;1;12;6;13;10;1;15;7;19;2;3;16;9;1;16;14;8;15;18;1;12;5;6;1;37;10;1;14;8;19;6;18;10;2;9;1;10;11;3;8;20;4;11;2;5;5;6;11;13;9;10;4;10;34;13;6;1;5;12;8;4;23;4;14;7;13;7;4;1;4;1;6;4;1;6;7;7;6;5;7;7;8;15;9;6;12;3;7;5;6;11;13;11;13;1;10;22;31;9;20;3;11;23;3;10;1;10;15;9;6;3;5;8;8;9;3;7;3;11;1;9;14;3;6;5;1;9;9;4;1;22;15;2;5;13;9;16;6;18;9;2;12;4;6;12;3;10;1;11;2;1;15;18;14;3;6;4;12;9;14;8;9;8;14;9;2;9;2;6;3;12;16;1;6;1;4;26;6;13;20;1;8;9;8;17;2;6;3;2;9;10;6;11;12;9;8;16;1;8;5;10;15;8;5;3;3;17;6;14;1;10;4;11;23;8;4;11;1;9;1;4;23;6;12;3;15;24;8;5;11;7;1;37;2;26;7;8;7;1;7;6;34;8;6;8;5;21;1;9;13;6;3;5;2;3;5;2;13;10;8;6;10;16;8;1;7;2;4;10;8;1;5;12;3;8;9;3;14;9;9;15;5;4;15;24;12;3;18;15;7;8;21;8;6;7;13;11;15;8;2;9;2;7;4;3;4;10;7;18;7;20;7;2;20;14;20;5;11;12;9;3;3;11;5;3;14;7;15;14;20;14;4;24;1;5;17;1;10;8;7;5;1;6;9;4;4;7;10;6;8;18;15;9;6;7;3;7;18;5;4;4;14;22;8;9;26;2;13;1;8;6;8;28;8;11;25;3;8;13;9;1;16;35;48;2;9;2;23;14;5;33;8;2;5;19;33;4;10;4;21;6;16;21;2;25;7;16;14;32;3;8;6;12;10;3;8;2;5;1;14;4;5;2;15;3;10;18;17;1;2;5;4;6;6;3;12;1;9;26;5;19;5;9;7;11;6;10;3;6;13;14;10;6;2;11;7;4;20;4;14;18;22;1;9;3;3;20;7;5;25;12;6;7;9;3;4;14;10;18;19;2;6;7;4;6;4;12;38;8;1;15;18;1;10;6;1;12;7;4;7;15;15;12;10;12;13;6;19;5;14;5;5;33;4;4;6;4;14;7;5;25;12;5;18;10;4;12;5;19;10;12;14;10;2;5;5;14;5;4;3;10;2;9;2;11;2;5;6;12;5;8;10;2;5;17;7;17;24;13;13;3;9;10;7;10;7;2;13
AT_E_Balance,DE_E_Balance,2050,1,explicit,24;6;19;10;22;7;14;8;11;4;5;6;6;13;12;7;21;70;8;7;6;3;53;3;6;8;10;2;5;14;3;13;8;22;18;2;40;19;23;4;14;10;8;9;20;6;1;11;13;19;12;16;7;3;7;5;13;19;6;13;6;18;6;5;17;2;7;31;3;11;15;5;3;13;1;1;7;8;8;2;5;1;37;3;13;1;18;16;6;5;10;3;24;8;16;2;6;7;9;11;14;5;8;23;11;2;11;13;5;1;23;1;13;7;22;11;16;12;7;13;7;1;4;6;3;10;3;8;23;2;5;19;9;8;5;17;6;3;6;2;10;5;7;9;3;5;17;8;3;36;2;7;15;1;7;1;4;26;24;9;7;2;15;1;6;2;27;8;6;5;17;7;1;8;10;7;7;16;1;24;21;3;15;4;5;10;7;4;3;5;1;17;1;5;10;7;7;12;3;5;14;5;4;5;2;3;17;7;6;11;4;17;11;5;7;18;56;17;6;4;11;6;6;20;16;7;8;18;1;14;8;17;8;15;12;2;10;3;5;3;2;11;10;5;9;6;2;4;2;11;3;3;18;3;4;1;15;8;4;12;14;9;4;10;1;11;9;14;6;2;8;8;2;7;9;5;1;8;1;14;8;6;11;9;5;9;1;10;5;18;11;4;12;11;6;18;1;9;6;1;8;8;2;13;1;8;1;23;12;2;2;10;13;2;7;2;5;2;11;5;4;10;2;5;3;15;3;4;9;8;14;1;9;9;1;6;9;18;1;12;2;17;4;1;15;9;16;9;1;12;2;10;3;10;2;4;2;7;8;1;10;1;6;8;3;7;9;4;9;2;15;2;6;25;12;8;8;16;9;8;14;20;4;9;7;6;5;7;11;6;7;11;12;10;4;11;6;3;16;8;1;15;10;5;1;8;10;13;11;12;11;1;6;16;19;6;14;13;14;6;1;18;10;11;3;19;1;10;24;1;12;1;12;3;9;2;6;5;2;9;2;8;1;13;6;19;9;13;3;3;18;13;13;10;3;12;2;7;4;9;7;4;5;7;1;4;3;10;7;6;12;7;9;14;15;1;11;5;3;7;4;4;9;4;11;9;14;10;13;9;4;12;17;7;10;13;3;15;6;10;6;8;9;1;4;16;6;4;3;13;2;15;1;9;6;9;1;8;13;1;9;5;10;4;9;23;15;7;9;4;9;2;10;4;6;18;9;5;7;2;10;13;2;10;1;11;3;9;6;2;16;17;2;4;16;19;4;1;7;3;4;10;5;4;9;6;1;11;9;1;11;12;4;8;3;13;7;13;5;6;14;3;5;9;17;6;9;2;7;4;11;10;6;7;9;7;4;5;8;1;14;1;2;12;10;15;8;8;17;3;6;1;10;3;11;4;9;10;27;11;1;9;5;13;10;12;6;6;12;2;22;13;13;6;6;31;3;9;15;1;7;4;11;8;6;39;9;13;7;15;9;2;11;9;6;1;8;13;2;10;14;5;5;14;2;8;1;13;18;4;12;5;17;14;3;9;12;8;9;4;29;10;14;1;15;3;15;7;24;5;6;8;7;13;4;7;1;13;1;8;6;7;4;10;5;9;7;1;14;8;2;20;9;6;10;17;9;12;5;1;7;3;12;12;15;4;7;10;7;12;3;14;7;18;9;10;16;2;6;1;16;11;4;17;15;8;1;16;7;16;8;1;15;7;2;13;26;8;7;1;11;35;6;26;4;12;8;2;12;21;11;4;7;4;20;5;11;13;6;4;16;2;33;7;43;10;1;32;5;8;11;19;6;4;23;32;2;14;4;7;13;21;14;7;2;20;8;6;6;10;2;6;6;13;19;17;25;3;5;7;15;3;6;17;1;9;3;14;5;16;3;5;15;1;11;5;35;5;19;5;9;7;11;3;3;13;8;11;16;14;20;11;17;32;7;15;12;1;6;17;9;3;9;8;8;12;6;3;13;7;19;5;7;11;18;3;6;11;10;12;23;23;16;19;3;6;1;7;23;53;6;1;11;6;37;14;3;7;33;8;5;5;14;2;5;5;1;14;6;17;5;14;13;48;2;12;13;1;12;10;11;3;9;2;11;11;13;10;3;12;23;7;14;13;14;19;5;1;6;6;17;8;10;7;17;7;8
AT_E_ENS,AT_E_Demand,2050,1,explicit,30;19;10;22;7;33;15;38;21;70;8;7;6;59;6;8;10;7;17;21;42;59;23;28;43;12;44;16;10;12;13;19;6;19;18;6;24;41;11;20;16;2;7;8;8;7;41;14;18;16;6;18;24;8;16;8;7;9;25;47;31;25;13;29;11;16;40;10;16;8;23;26;9;13;17;9;6;12;12;9;8;25;39;9;15;8;31;33;7;17;9;27;8;11;17;7;9;24;16;49;15;9;21;9;18;15;7;22;19;9;7;20;24;21;16;7;18;79;15;12;43;27;22;25;15;14;10;8;3;13;10;14;8;4;13;6;18;7;16;12;12;23;15;40;10;8;9;14;9;15;8;26;15;15;18;15;12;11;6;18;17;8;10;14;9;23;14;27;9;18;9;10;7;3;15;7;17;14;10;9;7;28;12;23;16;9;16;9;13;15;12;6;7;8;11;18;20;9;17;8;37;41;46;9;18;18;13;11;22;21;3;16;9;31;42;12;12;47;48;18;10;11;22;11;24;13;16;11;13;9;10;14;47;6;18;39;14;7;13;7;4;5;7;5;13;7;18;7;38;12;15;17;24;14;32;63;34;14;10;30;16;17;10;15;9;14;14;10;13;23;15;7;13;9;16;6;18;9;14;10;15;11;11;3;15;35;6;16;23;8;17;25;11;9;12;16;8;36;33;9;17;17;11;11;16;23;9;8;16;14;10;15;8;8;20;6;14;15;46;11;10;28;18;18;24;13;19;37;28;7;15;8;6;48;13;22;9;13;9;7;8;15;24;10;16;8;14;18;21;17;17;9;29;58;18;22;29;14;7;13;11;15;8;13;14;14;7;25;20;9;54;5;11;12;12;19;17;7;15;14;34;28;6;17;11;21;15;8;17;32;15;9;13;41;53;26;16;8;14;36;11;25;11;13;10;16;35;50;11;37;38;10;57;18;64;34;16;14;32;17;25;8;7;15;9;17;13;35;3;5;16;16;35;5;19;5;16;11;6;13;19;30;20;28;32;22;13;23;12;25;12;6;16;7;24;18;21;6;11;10;12;46;16;19;10;7;23;59;12;43;14;10;33;8;10;14;7;5;70;50;12;14;12;10;14;9;13;11;13;13;35;7;41;24;13;25;10;7;17;15
AT_Gas,AT_E_Balance,2050,1,explicit,30;19;10;22;7;33;15;38;21;70;8;7;6;59;6;8;10;7;17;21;42;59;23;28;43;12;44;16;10;12;13;19;6;19;18;6;24;41;11;20;16;2;7;8;8;7;41;14;18;16;6;18;24;8;16;8;7;9;25;47;31;25;13;29;11;16;40;10;16;8;23;26;9;13;17;9;6;12;12;9;8;25;39;9;15;8;31;33;7;17;9;27;8;11;17;7;9;24;16;49;15;9;21;9;18;15;7;22;19;9;7;20;24;21;16;7;18;79;15;12;43;27;22;25;15;14;10;8;3;13;10;14;8;4;13;6;18;7;16;12;12;23;15;40;10;8;9;14;9;15;8;26;15;15;18;15;12;11;6;18;17;8;10;14;9;23;14;27;9;18;9;10;7;3;15;7;17;14;10;9;7;28;12;23;16;9;16;9;13;15;12;6;7;8;11;18;20;9;17;8;37;41;46;9;18;18;13;11;22;21;3;16;9;31;42;12;12;47;48;18;10;11;22;11;24;13;16;11;13;9;10;14;47;6;18;39;14;7;13;7;4;5;7;5;13;7;18;7;38;12;15;17;24;14;32;63;34;14;10;30;16;17;10;15;9;14;14;10;13;23;15;7;13;9;16;6;18;9;14;10;15;11;11;3;15;35;6;16;23;8;17;25;11;9;12;16;8;36;33;9;17;17;11;11;16;23;9;8;16;14;10;15;8;8;20;6;14;15;46;11;10;28;18;18;24;13;19;37;28;7;15;8;6;48;13;22;9;13;9;7;8;15;24;10;16;8;14;18;21;17;17;9;29;58;18;22;29;14;7;13;11;15;8;13;14;14;7;25;20;9;54;5;11;12;12;19;17;7;15;14;34;28;6;17;11;21;15;8;17;32;15;9;13;41;53;26;16;8;14;36;11;25;11;13;10;16;35;50;11;37;38;10;57;18;64;34;16;14;32;17;25;8;7;15;9;17;13;35;3;5;16;16;35;5;19;5;16;11;6;13;19;30;20;28;32;22;13;23;12;25;12;6;16;7;24;18;21;6;11;10;12;46;16;19;10;7;23;59;12;43;14;10;33;8;10;14;7;5;70;50;12;14;12;10;14;9;13;11;13;13;35;7;41;24;13;25;10;7;17;15
