asset,year,partition,rep_period,specification
AT_Battery,2050,1,1,uniform
AT_E_Balance,2050,1,1,uniform
AT_E_Demand,2050,33;8;40;8;26;14;8;16;8;16;96;8;16;8;16;8;16;7;17;8;40;7;25;16;8;7;33;35;12;9;15;9;15;9;15;9;15;9;15;48;9;39;9;15;10;14;10;14;10;38;10;62;10;14;10;13;49;9;15;10;14;10;14;10;38;10;14;10;14;10;14;10;14;10;38;10;14;10;13;11;24;13;11;13;11;37;11;13;11;37;11;37;11;14;10;13;12;36;12;12;12;12;12;60;12;12;2;8;27;11;11;13;12;12;2;10;12;12;12;12;12;12;36;12;12;12;133;11;11;13;35;13;11;13;35;13;35;13;11;13;11;13;35;13;59;13;11;13;35;13;11;14;34;14;58;14;33;15;9;14;11;13;10;48;14;58;15;33;15;9;15;9;15;33;15;9;15;16;8;9;15;33;15;57;15;57;15;33;15;36;4;8;9;15;14;10;12;12;13;10;10;15;9;15;33;15;13;11;33;15;33;15;33;15;9;15;33;15;9;15;33;48;15;33;15;9;15;10;14;33;15;9;15;9;15;9;14;13;12;66;25;5;33;15;9;15;33;15;12;12;33;15;33;15;9;15;9;15;9;15;9;15;9;15;16;8;11;13;9;15;33;15;33;15;9;15;33;15;13;11;33;15;23;10;15;18;4;14;9;36;15;34;14;12;12;18;6;58;3;10;11;14;10;14;34;13;24;35;2;12;34;13;11;13;13;11;11;13;11;13;13;11;11;13;35;13;11;13;11;13;19;16;13;59;13;12;12;83;13;11;13;11;13;11;13;11;12;12;13;11;13;11;13;11;13;36;11;13;11;37;11;13;11;37;11;37;11;13;11;13;11;13;11;13;11;13;11;61;11;13;11;37;11;109;10;38;11;37;11;37;10;62;10;38;10;14;24;10;14;10;14;10;39;9;15;9;15;9;15;8;16;9;15;9;6;9;9;15;9;15;9;15;9;15;9;15;9;63;9;15;9;15;9;39;9;51;21;15;9;51;11;13;12;8;16;9;15;8;16;9;15;9;27;12;9;15;9;15;9;39;9;23;3;14;8;15;9;15;9;10;61;17;8;16;8;64;7;17;8;16;8;8;8;8;16;8;16;8;16;8;21;1;5;13;8;10;6;8;27;4,1,explicit
AT_E_ENS,2050,1,1,uniform
AT_Gas,2050,1,1,uniform
AT_H_Demand,2050,1,1,uniform
AT_Hydro,2050,1,1,uniform
AT_Hydro_Reservoir,2050,24,1,uniform
AT_Pump_Hydro_Closed,2050,24,1,uniform
AT_Pump_Hydro_Open,2050,24,1,uniform
