id,from_asset,to_asset,year,rep_period,time_block_start,time_block_end,var_flow_id,dual_max_transport_flow_limit_simple_method,dual_min_transport_flow_limit_simple_method
1,AT_E_Balance,CH_E_Balance,2050,1,1,23,476061,0.0,0.0
2,AT_E_Balance,CH_E_Balance,2050,1,24,30,476062,0.0,0.0
3,AT_E_Balance,CH_E_Balance,2050,1,31,49,476063,-918.2457251687761,0.0
4,AT_E_Balance,CH_E_Balance,2050,1,50,59,476064,0.0,0.0
5,AT_E_Balance,CH_E_Balance,2050,1,60,61,476065,0.0,0.0
6,AT_E_Balance,CH_E_Balance,2050,1,62,79,476066,0.0,0.0
7,AT_E_Balance,CH_E_Balance,2050,1,80,81,476067,0.0,0.0
8,AT_E_Balance,CH_E_Balance,2050,1,82,88,476068,0.0,0.0
9,AT_E_Balance,CH_E_Balance,2050,1,89,121,476069,-373.22452951320895,0.0
10,AT_E_Balance,CH_E_Balance,2050,1,122,136,476070,0.0,0.0
11,AT_E_Balance,CH_E_Balance,2050,1,137,142,476071,0.0,0.0
12,AT_E_Balance,CH_E_Balance,2050,1,143,155,476072,-0.0,0.0
13,AT_E_Balance,CH_E_Balance,2050,1,156,160,476073,0.0,0.0
14,AT_E_Balance,CH_E_Balance,2050,1,161,172,476074,0.0,0.0
15,AT_E_Balance,CH_E_Balance,2050,1,173,174,476075,0.0,0.0
16,AT_E_Balance,CH_E_Balance,2050,1,175,190,476076,0.0,0.0
17,AT_E_Balance,CH_E_Balance,2050,1,191,195,476077,0.0,0.0
18,AT_E_Balance,CH_E_Balance,2050,1,196,250,476078,-3148.128612059415,0.0
19,AT_E_Balance,CH_E_Balance,2050,1,251,265,476079,0.0,0.0
20,AT_E_Balance,CH_E_Balance,2050,1,266,273,476080,0.0,0.0
21,AT_E_Balance,CH_E_Balance,2050,1,274,280,476081,0.0,0.0
22,AT_E_Balance,CH_E_Balance,2050,1,281,286,476082,0.0,0.0
23,AT_E_Balance,CH_E_Balance,2050,1,287,304,476083,0.0,0.0
24,AT_E_Balance,CH_E_Balance,2050,1,305,335,476084,-611.5754149410625,0.0
25,AT_E_Balance,CH_E_Balance,2050,1,336,345,476085,0.0,0.0
26,AT_E_Balance,CH_E_Balance,2050,1,346,351,476086,0.0,0.0
27,AT_E_Balance,CH_E_Balance,2050,1,352,359,476087,0.0,0.0
28,AT_E_Balance,CH_E_Balance,2050,1,360,369,476088,-325.1199911505778,0.0
29,AT_E_Balance,CH_E_Balance,2050,1,370,376,476089,0.0,598.2517968871592
30,AT_E_Balance,CH_E_Balance,2050,1,377,391,476090,0.0,0.0
31,AT_E_Balance,CH_E_Balance,2050,1,392,393,476091,0.0,0.0
32,AT_E_Balance,CH_E_Balance,2050,1,394,414,476092,0.0,0.0
33,AT_E_Balance,CH_E_Balance,2050,1,415,418,476093,0.0,0.0
34,AT_E_Balance,CH_E_Balance,2050,1,419,456,476094,0.0,813.1367191294746
35,AT_E_Balance,CH_E_Balance,2050,1,457,491,476095,0.0,0.0
36,AT_E_Balance,CH_E_Balance,2050,1,492,505,476096,0.0,0.0
37,AT_E_Balance,CH_E_Balance,2050,1,506,515,476097,0.0,0.0
38,AT_E_Balance,CH_E_Balance,2050,1,516,530,476098,0.0,0.0
39,AT_E_Balance,CH_E_Balance,2050,1,531,538,476099,0.0,0.0
40,AT_E_Balance,CH_E_Balance,2050,1,539,566,476100,0.0,0.0
41,AT_E_Balance,CH_E_Balance,2050,1,567,572,476101,0.0,0.0
42,AT_E_Balance,CH_E_Balance,2050,1,573,582,476102,0.0,0.0
43,AT_E_Balance,CH_E_Balance,2050,1,583,586,476103,0.0,0.0
44,AT_E_Balance,CH_E_Balance,2050,1,587,604,476104,0.0,0.0
45,AT_E_Balance,CH_E_Balance,2050,1,605,609,476105,0.0,-1.7053025658242404e-12
46,AT_E_Balance,CH_E_Balance,2050,1,610,617,476106,0.0,108.48484040756875
47,AT_E_Balance,CH_E_Balance,2050,1,618,621,476107,0.0,0.0
48,AT_E_Balance,CH_E_Balance,2050,1,622,630,476108,0.0,0.0
49,AT_E_Balance,CH_E_Balance,2050,1,631,659,476109,-486.44534408720097,0.0
50,AT_E_Balance,CH_E_Balance,2050,1,660,665,476110,0.0,0.0
51,AT_E_Balance,CH_E_Balance,2050,1,666,676,476111,0.0,0.0
