id,asset,year,scenario,period_block_start,period_block_end,solution
1,AT_Hydro_Reservoir,2050,1,1,1,378.5
2,AT_Pump_Hydro_Closed,2050,1,1,1,0.9
3,AT_Pump_Hydro_Open,2050,1,1,1,866.3
4,BG_Hydro_Reservoir,2050,1,1,1,421.5
5,BG_Pump_Hydro_Closed,2050,1,1,1,4.7
6,BG_Pump_Hydro_Open,2050,1,1,1,127.65
7,CH_Pump_Hydro_Closed,2050,1,1,1,35.0
8,CH_Pump_Hydro_Open,2050,1,1,1,5280.0
9,CZ_Hydro_Reservoir,2050,1,1,1,1.25
10,CZ_Pump_Hydro_Closed,2050,1,1,1,1.85
11,CZ_Pump_Hydro_Open,2050,1,1,1,1.15
12,DE_Hydro_Reservoir,2050,1,1,1,129.3
13,DE_Pump_Hydro_Closed,2050,1,1,1,141.1
14,DE_Pump_Hydro_Open,2050,1,1,1,208.35
15,ES_Hydro_Reservoir,2050,1,1,1,5824.25
16,ES_Pump_Hydro_Closed,2050,1,1,1,49.5
17,ES_Pump_Hydro_Open,2050,1,1,1,2980.95
18,FI_Hydro_Reservoir,2050,1,1,1,2765.0
19,FR_Hydro_Reservoir,2050,1,1,1,5000.0
20,FR_Pump_Hydro_Closed,2050,1,1,1,5.0
21,FR_Pump_Hydro_Open,2050,1,1,1,45.0
22,GR_Hydro_Reservoir,2050,1,1,1,1800.0
23,GR_Pump_Hydro_Closed,2050,1,1,1,0.0
24,GR_Pump_Hydro_Open,2050,1,1,1,2.25
25,HR_Hydro_Reservoir,2050,1,1,1,1022.95
26,HR_Pump_Hydro_Open,2050,1,1,1,9.15
27,IE_Pump_Hydro_Closed,2050,1,1,1,1.7
28,IT_Hydro_Reservoir,2050,1,1,1,2783.925
29,IT_Pump_Hydro_Closed,2050,1,1,1,31.5
30,IT_Pump_Hydro_Open,2050,1,1,1,144.495
31,LT_Pump_Hydro_Closed,2050,1,1,1,5.3
32,LU_Pump_Hydro_Closed,2050,1,1,1,2.5
33,NO_Hydro_Reservoir,2050,1,1,1,53746.44
34,NO_Pump_Hydro_Open,2050,1,1,1,2.28
35,PL_Hydro_Reservoir,2050,1,1,1,0.4
36,PL_Pump_Hydro_Closed,2050,1,1,1,3.15
37,PL_Pump_Hydro_Open,2050,1,1,1,0.75
38,PT_Hydro_Reservoir,2050,1,1,1,644.8
39,PT_Pump_Hydro_Open,2050,1,1,1,1008.95
40,RO_Hydro_Reservoir,2050,1,1,1,1212.65
41,RO_Pump_Hydro_Open,2050,1,1,1,753.2
42,SE_Hydro_Reservoir,2050,1,1,1,15965.663
43,SI_Pump_Hydro_Closed,2050,1,1,1,1.3
44,SK_Hydro_Reservoir,2050,1,1,1,10.345
45,SK_Pump_Hydro_Closed,2050,1,1,1,2.05
46,SK_Pump_Hydro_Open,2050,1,1,1,22.775
47,UK_Pump_Hydro_Closed,2050,1,1,1,26.4
