scope,dataset,method,num_clusters,relative_regret,investment_cost,operational_cost_without_ens,ens_cost,total_cost
perlocation,basedataset,EAC,200,19.278234938923493,160626373.65321264,34094902.51269373,1324291.367306268,196045567.53321263
perlocation,basedataset,EAC,400,10.532888362884437,156318639.112396,24767130.08280818,585956.9271918203,181671726.122396
perlocation,basedataset,EAC,500,8.21770443847018,159363038.8102157,18019374.2688101,484079.45118989807,177866492.5302157
perlocation,basedataset,EAC,600,6.210827399293552,156559486.6842629,17523673.502038553,484831.5879614453,174567991.7742629
perlocation,basedataset,EAC,800,2.52655942364085,149183090.02565256,18660220.53036807,669222.6796319315,168512533.23565257
perlocation,basedataset,EAC,1000,2.3893407930775132,144573112.9148398,20409096.665995926,3304791.274004076,168287000.8548398
perlocation,basedataset,EAC,1200,2.057844626755877,144833856.24332628,19040030.710113775,3868267.189886224,167742154.14332628
perlocation,basedataset,EAC,1400,2.1556262402964137,145521238.34905437,18516012.34120168,3865617.1987983175,167902867.88905436
perlocation,basedataset,EAC,1500,2.0906172133010794,145425971.87826738,18508054.667856216,3861992.582143782,167796019.12826738
perlocation,basedataset,EAC,1600,1.4743040219788472,145857987.997357,18297036.944157757,2628022.5458422424,166783047.48735702
perlocation,basedataset,EAC,1800,1.2592627960505824,145844161.5397615,18109930.62607977,2475513.8139202297,166429605.9797615
perlocation,basedataset,EAC,2000,1.0707346267394908,145613960.04103354,18025425.25712028,2480356.0028797192,166119741.30103353
perlocation,basedataset,EAC,2200,1.109985349642522,145812070.54332072,17906922.695263676,2465260.504736323,166184253.7433207
perlocation,basedataset,EAC,2400,0.5890285991420243,147261664.37709233,17330422.57617899,735922.883821012,165328009.83709234
perlocation,basedataset,EAC,2500,0.5486790456682401,147288426.05816337,17289184.34738211,684080.952617891,165261691.3581634
perlocation,basedataset,EAC,3000,0.5524668324980173,147491942.48016965,17232075.61021636,543898.8697836387,165267916.96016964
perlocation,basedataset,EAC,3500,0.2686822027498842,146847541.5244031,17151305.09320668,802642.2567933211,164801488.8744031
perlocation,basedataset,EAC,4000,0.20223784658229915,146773784.6782662,17116568.254410516,801928.0755894826,164692281.0082662
perlocation,basedataset,HC,500,15.22040202829276,142159461.6240951,20462411.15145799,26754245.328542005,189376118.1040951
perlocation,basedataset,HC,1000,6.183627316056535,147097827.529246,19023920.190966398,8401538.029033603,174523285.749246
perlocation,basedataset,HC,1500,3.098134050718087,146426344.5546603,18702934.795052834,4322693.274947168,169451972.62466028
perlocation,basedataset,HC,2000,1.244618503816691,145501135.38816214,18321801.994837847,2582599.255162154,166405536.63816214
perlocation,basedataset,HC,2500,1.532046022278588,144632875.59156084,18597045.169399504,3648031.410600493,166877952.17156082
perlocation,basedataset,HC,3000,0.5567647958360264,145780203.03768852,17554147.39298553,1940630.6570144698,165274981.08768854
perlocation,basedataset,HC,3500,0.4694332846427258,145810604.3379643,17433444.46446768,1887394.3155323218,165131443.1179643
perlocation,basedataset,HC,4000,0.3368786080647034,145827476.63647056,17364500.36184077,1721599.4081592304,164913576.40647057
perlocation,basedataset,HC,5000,0.06845917295525158,146098227.0966533,17221764.907712054,1152410.5322879474,164472402.5366533
perlocation,basedataset,HC,6000,0.028483803846621875,146103424.96670958,17166734.805305857,1136539.2946941447,164406699.06670958
perlocation,basedataset,HC,7000,0.013873642741439872,146174548.00299346,17118239.130452555,1089898.689547446,164382685.82299346
perlocation,basedataset,HC,8000,0.008615963449667249,146203510.93745467,17115964.320321556,1054569.0496784432,164374044.30745468
perlocation,basedataset,PEC,500,29.17672554443802,188151892.8830804,24162822.24,0.0,212314715.1230804
perlocation,basedataset,PEC,1000,9.68591939063537,161809914.85954475,18469734.05,0.0,180279648.90954477
perlocation,basedataset,PEC,1500,4.497307987039869,153514690.13104427,18150833.17915481,86129.96084519077,171751653.27104425
perlocation,basedataset,PEC,2000,3.009844475255816,151629695.99162334,17493425.288864855,183738.70113514524,169306859.98162335
perlocation,basedataset,PEC,2500,2.558155976027409,150943643.47222507,17437083.118864857,183738.70113514524,168564465.29222506
perlocation,basedataset,PEC,3000,1.2445036441183845,148763719.71489623,16820030.30794495,821597.8320550492,166405347.85489625
perlocation,basedataset,PEC,3500,0.9589939197254886,148341638.94558784,16873220.842892684,721224.6171073174,165936084.40558785
perlocation,basedataset,PEC,4000,0.5858464152531836,147429779.54337198,17190132.131732497,702867.928267502,165322779.60337198
perlocation,basedataset,UTR,730,73.25078669840497,137711724.12197745,31820818.416949615,115222247.98305039,284754790.5219774
perlocation,basedataset,UTR,876,35.58102673649366,142000320.82699576,20657922.173175223,60182574.07682478,222840817.07699576
perlocation,basedataset,UTR,1095,17.35756036585231,142108157.6097973,18989999.5648255,31790591.875174496,192888749.0497973
perlocation,basedataset,UTR,1460,15.176146858479902,143579185.55871612,18137305.435655046,27586889.36434495,189303380.35871613
perlocation,basedataset,UTR,1752,6.996368925430969,143278314.4484814,18349752.144399703,14231040.3156003,175859106.90848142
perlocation,basedataset,UTR,2190,3.6401443172839723,144875914.57528636,17524160.58901848,7942744.900981521,170342820.06528637
perlocation,basedataset,UTR,2920,2.8408853329708017,145225447.23284316,17270353.976809323,6533357.723190677,169029158.93284315
perlocation,basedataset,UTR,4380,0.6213328270732557,145915272.03836292,17152732.839794237,2313100.1502057603,165381105.02836293
perlocation,highvar,EAC,200,45.498527955845084,276372835.5584156,78202620.52002747,78126019.67997251,432701475.7584156
perlocation,highvar,EAC,400,30.83925638377122,283794141.2236717,49606174.77696624,55705609.12303377,389105925.12367165
perlocation,highvar,EAC,500,26.48313831450816,281790445.9401056,39076396.98670764,55284320.77329236,376151163.7001056
perlocation,highvar,EAC,600,18.621437457642624,263264622.47264385,33693941.94252136,55812503.20747864,352771067.6226438
perlocation,highvar,EAC,800,14.320995458631467,250316108.65676272,31975358.086000547,57690415.82399945,339981882.5667627
perlocation,highvar,EAC,1000,9.320878643457137,235933214.13844988,33353911.81232649,55824792.2576735,325111918.20844984
perlocation,highvar,EAC,1200,3.1314465782835907,205549884.7079557,35479118.382298164,65676018.31770184,306705021.4079557
perlocation,highvar,EAC,1400,1.9014627496407404,196942571.4284354,36877002.02759515,69227570.27240485,303047143.7284354
perlocation,highvar,EAC,1500,1.8210194407425144,197111974.79039025,36574899.2231404,69121037.4768596,302807911.49039024
perlocation,highvar,EAC,1800,1.4426284752861116,195135564.54697868,36499953.88587844,70047087.31412156,301682605.7469787
perlocation,highvar,EAC,2000,1.2186582814794262,194474418.248554,36963494.064977095,69578623.2350229,301016535.548554
perlocation,highvar,EAC,2200,1.0960070003691527,194433962.43462756,36898289.93629195,69319527.66370805,300651780.03462756
perlocation,highvar,EAC,2400,0.8743517590637169,196742686.0275972,36399007.09078194,66850901.209218055,299992594.3275972
perlocation,highvar,EAC,2500,0.77829962238654,197638642.13150185,36256970.764991075,65811329.735008925,299706942.63150185
perlocation,highvar,EAC,3000,0.6205141759847602,197138064.80156413,36159639.61488448,65939996.38511552,299237700.8015641
perlocation,highvar,EAC,3500,0.4669292747263708,196770901.5710865,35883677.94630732,66126371.55369268,298780951.0710865
perlocation,highvar,EAC,4000,0.46331834226154534,201782041.6345632,35040996.747347,61947174.052653,298770212.4345632
perlocation,highvar,HC,500,49.85835613478138,194142188.563925,38353449.432198316,213171632.76780167,445667270.76392496
perlocation,highvar,HC,1000,14.35374042466998,197452456.08722788,35916618.53400135,106710188.96599865,340079263.5872279
perlocation,highvar,HC,1500,3.1774480671697094,206442365.51181117,35803521.465538025,64595939.33446197,306841826.31181115
perlocation,highvar,HC,2000,2.8033653525696005,205274185.4763988,36163217.344135776,64291930.155864224,305729332.9763988
perlocation,highvar,HC,2500,2.0200913071400493,205898322.21051648,36194405.08845052,61307208.671549484,303399935.9705165
perlocation,highvar,HC,3000,1.080890724487836,202797654.0881874,36117493.95730478,61691677.342695214,300606825.3881874
perlocation,highvar,HC,3500,0.95194647926482,203173463.2110824,35589378.28901927,61460513.58098073,300223355.0810824
perlocation,highvar,HC,4000,0.7639781766151112,203325741.928918,35252588.725636944,61086021.09436305,299664351.748918
perlocation,highvar,HC,5000,0.3321390941428216,201057765.01006597,35283472.46270089,62038857.92729911,298380095.40006596
perlocation,highvar,HC,6000,0.36746082807482466,201096721.4808448,34855256.67087119,62533161.37912881,298485139.5308448
perlocation,highvar,HC,7000,0.1753167381223832,199595768.1171417,34767076.09435391,63550873.51564609,297913717.7271417
perlocation,highvar,HC,8000,0.044681749915473544,197774243.14992735,35052358.86940242,64698617.26059757,297525219.2799274
perlocation,highvar,PEC,500,55.52627820797009,293092634.40020484,55014080.85363507,114416521.54636493,462523236.8002049
perlocation,highvar,PEC,1000,36.226943393764486,266387518.25031585,39729972.15552379,99011003.14447622,405128493.55031586
perlocation,highvar,PEC,1500,11.57851502190371,235596199.27446067,36657599.935579665,59572156.63442033,331825955.84446067
perlocation,highvar,PEC,2000,7.350910488893104,223989922.08251703,36847718.47880364,58415743.27119636,319253383.832517
perlocation,highvar,PEC,2500,4.519763655368999,216265664.2487169,36061365.16774279,58506740.62225722,310833770.0387169
perlocation,highvar,PEC,3000,3.179286432978091,213720039.43089136,35575212.911340885,57552041.12865912,306847293.47089136
perlocation,highvar,PEC,3500,2.974875496388448,213871247.5750304,35261580.854370795,57106562.57562921,306239391.0050304
perlocation,highvar,PEC,4000,2.569728662002952,213239527.67714304,34687905.592312105,57107082.0876879,305034515.35714304
perlocation,highvar,UTR,730,126.04380121201523,177641325.79278988,45997557.23540485,448598064.96459514,672236947.9927899
perlocation,highvar,UTR,876,32.52605777118802,183409041.6270087,36704437.06737998,174008864.53262,394122343.2270087
perlocation,highvar,UTR,1095,44.23919953421748,189443627.60739544,35685048.41145891,203827653.4885411,428956329.50739545
perlocation,highvar,UTR,1460,16.81979350166135,190841091.71828,35413101.77560049,121158923.02439952,347413116.51828
perlocation,highvar,UTR,1752,7.649868906407194,195235077.8635337,35310071.95353326,89597313.44646674,320142463.2635337
perlocation,highvar,UTR,2190,6.953982955611312,194171992.75644615,35515950.243623614,88385008.75637639,318072951.7564461
perlocation,highvar,UTR,2920,3.5751271342488007,196761033.29182157,35339538.9949899,75923921.10501009,308024493.39182156
perlocation,highvar,UTR,4380,1.141330890545453,200798814.0218296,34837741.137142055,65150014.65285795,300786569.8118296
perlocation,lowvar,EAC,200,9.738507645187847,132935254.51690894,10816766.08,0.0,143752020.59690896
perlocation,lowvar,EAC,400,5.05608516792655,134883908.74471092,2734369.861,0.0,137618278.60571092
perlocation,lowvar,EAC,500,4.616858098420524,134270661.4198276,2771553.592896999,697.8431030011445,137042912.8558276
perlocation,lowvar,EAC,600,3.1656743199552775,132149860.15263224,2991418.3040447165,655.3819552837381,135141933.83863223
perlocation,lowvar,EAC,800,0.48015749874434954,128348129.43101558,3275306.864661853,603.2533381470954,131624039.54901558
perlocation,lowvar,EAC,1000,0.580746731475431,126853154.34472732,4902048.873661853,603.2533381470954,131755806.47172733
perlocation,lowvar,EAC,1200,0.28318474056513787,127465401.33124296,3900010.387661853,603.2533381470954,131366014.97224297
perlocation,lowvar,EAC,1400,0.19049338673247238,127647141.60349284,3596849.023661853,603.2533381470954,131244593.88049284
perlocation,lowvar,EAC,1500,0.16288829908129987,127706188.59520032,3501640.731661853,603.2533381470954,131208432.58020031
perlocation,lowvar,EAC,1600,0.14225466283354232,127757932.03564464,3422868.2476618537,603.2533381465926,131181403.53664464
perlocation,lowvar,EAC,1800,0.11287015961751336,127793366.60791938,3348941.4286618526,603.2533381475707,131142911.28991938
perlocation,lowvar,EAC,2000,0.09361858407088386,127816288.33056636,3300801.0936618536,603.2533381465926,131117692.67756636
perlocation,lowvar,EAC,2200,0.07207974964889305,127888587.90814675,3200286.707661853,603.2533381470954,131089477.86914675
perlocation,lowvar,EAC,2400,0.05620630327045695,127937884.6330218,3130196.552661853,603.2533381470954,131068684.4390218
perlocation,lowvar,EAC,2500,0.05360691584262603,127935859.0059801,3128817.1106618536,603.2533381465926,131065279.3699801
perlocation,lowvar,EAC,3000,0.03615650379146966,127970781.80777392,3071035.131661853,603.2533381470954,131042420.19277392
perlocation,lowvar,EAC,3500,0.041639302997518474,127997389.78971688,3051609.3456618525,603.2533381471918,131049602.38871689
perlocation,lowvar,EAC,4000,0.038051060001334354,127992635.94876018,3052119.159774949,146.8592250509841,131044901.96776018
