experiment_name,method,num_clusters,clustering_method,high_percentile,low_percentile,tops_window,investment_cost,investment_cost_renewables,total_capacity,renewables_capacity,cost_Battery,cost_Coal,cost_Gas,cost_Nuclear,cost_OCGT,cost_Solar,cost_Wind_Offshore,cost_Wind_Onshore,capacity_Battery,capacity_Coal,capacity_Gas,capacity_Nuclear,capacity_OCGT,capacity_Solar,capacity_Wind_Offshore,capacity_Wind_Onshore
ward_k1000_perlocation_Afterwards_hp0.95_lp0.05,Afterwards,1000,perlocation,0.95,0.05,5,7.386130058617507e6,4.754169647999172e6,1912.9083741256832,1778.7688147962008,0.0,140015.01228392575,1.2290456296527344e6,735976.9809335193,526922.787748156,296455.3426638975,909852.6976861202,3.5478616076491545e6,0.0,0.8320892158587587,108.55067845544312,12.395401784143484,12.36138987403698,270.8771953292198,285.7440279971685,1222.1475914698124
ward_k1000_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,1000,perlocation,0.95,0.05,5,6.054831597685294e6,3.947399421261779e6,2430.723931936043,2349.555206327185,0.0,114297.49368348143,932065.273763034,0.0,1.0610694089769996e6,841765.2118535428,339401.6664330625,2.766232542975174e6,0.0,0.6792536767475468,73.55448730469048,0.0,6.934984627420031,1165.765867181267,189.72521962103605,994.064119524882
ward_k100_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,100,perlocation,0.95,0.05,5,8.90176332594844e6,5.110022009433173e6,1798.1999936140642,1645.5009078199364,0.0,189465.55863616173,2.3249893544213786e6,287286.4034577276,990000.0,0.0,1.7759471260038107e6,3.3340748834293615e6,0.0,1.1259667484663325,130.5966111979527,4.838507847709096,16.138,0.0,354.89091732952295,1290.6099904904136
ward_k1100_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,1100,perlocation,0.95,0.05,5,5.974840574646329e6,3.958319312996623e6,2428.950895696623,2348.66906533055,0.0,0.0,955371.2816394322,0.0,1.0611499800102739e6,844773.1471807774,289264.7475400214,2.8242814182758243e6,0.0,0.0,73.34519622986289,0.0,6.936634136210333,1189.4583633457696,147.4938459398816,1011.7168560448986
ward_k1200_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,1200,perlocation,0.95,0.05,5,6.012894134880653e6,3.965995393579315e6,2431.4153268873642,2352.0163310646394,0.0,0.0,946898.7413013383,0.0,1.1e6,866802.698937402,288546.0792052401,2.8106466154366727e6,0.0,0.0,71.66699582272469,0.0,7.732000000000001,1191.936145390692,154.8370629001604,1005.2431227737869
ward_k1300_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,1300,perlocation,0.95,0.05,5,6.027973196392689e6,3.9896443942563785e6,2426.6866576979787,2347.373676530744,0.0,777.5865340667807,979365.0478583908,0.0,1.058186167743852e6,838824.3127534777,341192.4309007878,2.809627650602113e6,0.0,0.004621085688168297,72.4324032655546,0.0,6.875956815992316,1186.2614269330752,157.55295015548546,1003.559299442183
ward_k1400_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,1400,perlocation,0.95,0.05,5,6.0498754501994345e6,4.0003728565447615e6,2424.214684447992,2344.3890134214816,0.0,0.0,991316.4259108212,0.0,1.058186167743852e6,846614.2967456981,336014.720826123,2.8177438389729406e6,0.0,0.0,72.94971421051805,0.0,6.875956815992316,1182.15461272321,155.55550584548814,1006.6788948527834
ward_k1500_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,1500,perlocation,0.95,0.05,5,6.0530653840400735e6,4.0206625479468647e6,2418.344334127139,2338.556912600183,0.0,0.0,982399.9924728284,0.0,1.05000284362038e6,845794.77939625,339587.88056469057,2.8352798879859243e6,0.0,0.0,73.07899967392807,0.0,6.708421853028142,1169.270636795606,156.6049796472144,1012.6812961573627
ward_k1600_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,1600,perlocation,0.95,0.05,5,6.064053850129284e6,4.024550954558644e6,2408.911745686238,2329.560728154322,0.0,0.0,989314.1625592884,0.0,1.0501887330113514e6,839396.3658205034,350152.7765988856,2.835001812139255e6,0.0,0.0,72.6387900160839,0.0,6.712227515832392,1149.6263455990697,165.81307026084056,1014.121312294412
ward_k1700_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,1700,perlocation,0.95,0.05,5,6.052059134056938e6,4.020355155632307e6,2400.9743405120757,2320.8883636113346,0.0,0.0,981269.3507365638,0.0,1.0504346276880668e6,827118.8743796023,348745.3036131967,2.844490977639508e6,0.0,0.0,73.36871525025394,0.0,6.717261650486604,1133.2548700029156,167.33937691624362,1020.2941166921756
