file_name                                                              , calc_ens, method                      , num_clusters, t_clustering         , t_create_model    , t_solve             , energy_not_served     , true_operational_cost, investment_cost   , investment_cost_renewables, total_capacity    , renewables_capacity, cost_Battery, capacity_Battery, cost_Coal           , capacity_Coal        , cost_Gas           , capacity_Gas       , cost_Nuclear       , capacity_Nuclear  , cost_OCGT         , capacity_OCGT      , cost_Solar           , capacity_Solar        , cost_Wind_Offshore, capacity_Wind_Offshore, cost_Wind_Onshore  , capacity_Wind_Onshore
ward_k500_perlocation_SeperateExtremesSum_hp0.95_lp0.05                , False   , SeperateExtremesSum         ,          500,    4.330496072769165 , 44.04330492019653 ,  237.5493359565735  ,     3.742757747788496 ,           23141438.82, 161579768.9058572 ,         137563742.313565  , 1952.126737401603 ,  1815.7472034767227,          0.0,              0.0,  368988.637242342   , 0.8785443743865285   , 10271303.33353706  , 108.11898245828483 , 12599148.62555224  , 13.262261711107621, 776585.995960561  , 14.119745381101112 , 12228614.612887522   ,  356.07319210011286   , 35092541.913547456,     293.0909101124432 ,  90242585.78713001 ,    1166.5831012641665
ward_k1700_perprofile_SeperateExtremesSum_hp0.95_lp0.05                , False   , SeperateExtremesSum         ,         1700,    3.796720027923584 , 41.95851683616638 ,  593.3990058898926  ,     2.452056227521496 ,           16539903.54, 152358094.57576165,         139294475.62422428, 2366.543428015139 ,  2283.143976064465 ,          0.0,              0.0,  438305.0841085532  , 1.0435835335917933   ,  6521402.347644423 ,  68.64634050152024 ,  5678651.519784389 ,  5.977527915562515, 425260.0          ,  7.732000000000001 , 36454771.56548464    , 1061.4912064464404    , 23556251.126909886,     196.74046692405466,  79283452.93182975 ,    1024.91230269397
ward_k8000_perlocation_SeperateExtremesSum_hp0.95_lp0.05               , False   , SeperateExtremesSum         ,         8000,    4.244370937347412 , 56.33483290672302 ,  855.066694021225   ,    15.309596208759888 ,           18065587.75, 146313414.12863326,         139026152.32767847, 2361.4244396862528,  2281.4608417814657,          0.0,              0.0,       0.0           , 0.0                  ,  6862001.800954793 ,  72.2315979047873  ,        0.0         ,  0.0              , 425260.0          ,  7.732000000000001 , 35911942.20286105    , 1045.685083673436     , 21245032.728511743,     177.43730257865207,  81869177.39630567 ,    1058.3384555293771
ward_k4600_perlocation_SeperateExtremesSum_hp0.95_lp0.05               , False   , SeperateExtremesSum         ,         4600,    3.775876045227051 , 45.58958387374878 ,  423.93141317367554 ,    12.046852526894792 ,           17811400.19, 146797095.96350133,         139386472.6016215 , 2348.808257638208 ,  2267.7210253595417,          0.0,              0.0,       0.0           , 0.0                  ,  7008210.768063867 ,  73.7706396638302  ,        0.0         ,  0.0              , 402412.5938159612 ,  7.31659261483566  , 35096700.57581201    , 1021.9468518568642    , 22381211.100526765,     186.92659959008915,  81908560.92528272 ,    1058.8475739125884
ward_k1300_perprofile_DynamicProgramming_s168_hp0.95_lp0.05            , False   , DynamicProgramming          ,         1300,  296.7189838886261   , 47.45774579048157 ,  501.3705289363861  ,     1.6313326434266884,           16751636.07, 150963395.47213998,         142449479.43273845, 2310.1698251390726,  2220.1290371478544,          0.0,              0.0,  301182.53171794093 , 0.7171012659950974   ,  7837335.502266297 ,  82.49826844490842 ,        0.0         ,  0.0              , 375398.0054173211 ,  6.8254182803149295, 31736725.963048946   ,  924.1110034296008    , 29547434.244603015,     246.77848688114122,  81165319.2250865  ,    1049.2395468371121
ward_k1000_perprofile_DynamicProgramming_s168_hp0.95_lp0.05            , False   , DynamicProgramming          ,         1000,  300.0729329586029   , 68.20906591415405 ,  620.21124792099    ,     3.457363939561617 ,           17386865.56, 151469593.38234016,         142198589.48994523, 2284.0184338517142,  2192.360320387438 ,          0.0,              0.0, 1080646.3809809815  , 2.5729675737642417   ,  7815351.907660101 ,  82.26686218589579 ,        0.0         ,  0.0              , 375005.6037538637 ,  6.818283704615705 , 30543089.707364365   ,  889.3546646927408    , 30683862.209718615,     256.2698684799299 ,  80971637.57286225 ,    1046.7357872147677
ward_k2000_perprofile_SeperateExtremesSum_hp0.95_lp0.05                , False   , SeperateExtremesSum         ,         2000,    4.074373006820679 , 49.48621010780335 ,  627.6401190757751  ,    10.825498907189996 ,           17274212.41, 148340648.25078753,         140764702.42420623, 2372.8095270560784,  2292.761459959595 ,          0.0,              0.0,  324881.04542714887 , 0.7735262986360688   ,  6866041.963522264 ,  72.2741259318133  ,        0.0         ,  0.0              , 385022.8176318874 ,  7.000414866034317 , 36316556.843389064   , 1057.4666657400926    , 25119140.430456262,     209.79362931707507,  79329005.1503609  ,    1025.5011649024273
ward_k200_perlocation_DynamicProgramming_s672_hp0.95_lp0.05            , False   , DynamicProgramming          ,          200,  166.52020406723022  , 48.113595962524414,  272.5370638370514  ,     0.0               ,           39001394.5 , 172157562.68473333,         125999471.37888478, 1694.1202686225288,  1497.3121467534556,          0.0,              0.0, 1165019.605363294   , 2.773856203245938    , 13995072.29800562  , 147.3165505053223  , 30175529.402479637 , 31.76371516050488 , 822470.0          , 14.954             ,    17933.48541636003 ,    0.5221878029383992 , 28806613.195215624,     240.59119169658857,  97174924.6982528  ,    1256.1987672539287
ward_k900_perprofile_DynamicProgramming_s168_hp0.95_lp0.05             , False   , DynamicProgramming          ,          900,  193.75394105911252  , 42.47852301597595 ,  361.1415350437164  ,     0.6617450616109863,           17097839.93, 152719030.2261336 ,         143508607.79129487, 2276.2361333454396,  2185.2154981185295,          0.0,              0.0, 1080646.3809809815  , 2.5729675737642417   ,  7754741.54072001  ,  81.6288583233685  ,        0.0         ,  0.0              , 375034.51313777565,  6.818809329777739 , 29808368.18348771    ,  867.9610198201883    , 33346869.76070898 ,     278.51115577906285,  80353369.84709819 ,    1038.743322519278
ward_k4500_global_NoExtremePreservation_hp0.95_lp0.05                  , False   , NoExtremePreservation Global,         4500,    4.240576982498169 , 53.19911885261536 ,  647.2280180454254  ,   139.6281524228704   ,           26983082.84, 144888228.8589804 ,         137929468.52727652, 2368.078495144955 ,  2292.070904393474 ,          0.0,              0.0,       0.0           , 0.0                  ,  6598564.245884557 ,  69.45857100931113 ,        0.0         ,  0.0              , 360196.0858193289 ,  6.549019742169618 , 36876667.2569427     , 1073.7759787077587    , 19241339.47282403 ,     160.7025706990853 ,  81811461.79750977 ,    1057.5923549866302
