file_name,calc_ens,method,num_clusters,t_clustering,t_create_model,t_solve,energy_not_served,true_operational_cost,investment_cost,investment_cost_renewables,total_capacity,renewables_capacity,cost_Battery,capacity_Battery,cost_Coal,capacity_Coal,cost_Gas,capacity_Gas,cost_Nuclear,capacity_Nuclear,cost_OCGT,capacity_OCGT,cost_Solar,capacity_Solar,cost_Wind_Offshore,capacity_Wind_Offshore,cost_Wind_Onshore,capacity_Wind_Onshore
ward_k500_global_DynamicProgramming_s168_hp0.95_lp0.05_basedataset,False,NoExtremePreservation Global,500,15.074041843414308,17.084353923797607,9.84205198287964,0.0,23939542.26,182027364.02557513,132551951.09164704,2012.767690748649,1783.2365821357748,0.0,0.0,1134134.3185094998,2.7003198059749995,17160764.923717935,180.63963077597822,30400000.0,32.0,780513.6917006742,14.19115803092135,10722442.830993515,312.2164338975191,22707649.741967093,189.65299651942303,99121858.51868643,1281.3671517188327
ward_k2000_perprofile_SeperateExtremesSum_hp0.95_lp0.05_basedataset,False,SeperateExtremesSum,2000,8.680161952972412,48.53998279571533,612.487664937973,7.876623266419514,,148443494.23388648,140121359.1671631,2351.648631332357,2264.1986785624163,0.0,0.0,418280.65385589574,0.9959063187045136,7478594.412867488,78.72204645123672,0.0,0.0,425260.0,7.732000000000001,35042084.25111133,1020.3565319643352,25034200.06291724,209.08421220820253,80045074.85313453,1034.7579343898785
ward_k1000_global_Afterwards_hp0.95_lp0.05_basedataset,False,NoExtremePreservation Global,1000,11.75615382194519,19.988605976104736,27.72692012786865,0.0,17838851.64,168171742.43474135,147486103.67417684,2213.943263483262,2079.240885966929,0.0,0.0,539667.5442063286,1.2849227243007824,10815309.011453308,113.84535801529798,8761438.031369027,9.2225663488095,569224.1735358564,10.34953042792466,22101964.093299706,643.5656986106452,40476383.93971833,338.0564518859468,84907755.64115879,1097.6187354703372
ward_k500_perlocation_Afterwards_hp0.95_lp0.05_basedataset,False,Afterwards,500,10.30695104598999,19.29860901832581,29.50755500793457,0.0,24162822.24,188151892.88308036,132551966.02050245,2117.3267000148635,1818.799681073887,0.0,0.0,1064054.771356508,2.533463741325019,23556118.37204969,247.95914075841773,30079293.719171718,31.662414441233388,900460.0,16.372000000000003,13288638.322958829,386.93899645288985,24015985.18806202,200.5801396022185,95247342.50948161,1231.2805450187789
ward_k2000_perlocation_SeperateExtremesSum_hp0.95_lp0.05_basedataset,False,SeperateExtremesSum,2000,13.334148168563845,30.570575952529907,237.08973693847656,36.006155049279535,20505781.26,145613960.04103354,137482976.82632285,2348.8295001247243,2259.9846241804016,0.0,0.0,0.0,0.0,7705723.2147106845,81.11287594432301,0.0,0.0,425260.0,7.732000000000001,36033327.562657736,1049.2195864691553,22008406.722278655,183.8129586693538,79441242.54138647,1026.9520790418924
ward_k1500_perlocation_SeperateExtremesSum_hp0.95_lp0.05_basedataset,False,SeperateExtremesSum,1500,11.656737089157104,26.68542194366455,142.4807951450348,56.06271984763137,22370047.25,145425971.87826738,136921220.76967993,2340.5374911690506,2247.7582163418147,0.0,0.0,0.0,0.0,8079491.108587411,85.04727482723592,0.0,0.0,425260.0,7.732000000000001,35928525.1484654,1046.1679464148574,22722606.54618009,189.7779148958108,78270089.07503445,1011.8123550311466
ward_k1500_global_Afterwards_hp0.95_lp0.05_basedataset,False,NoExtremePreservation Global,1500,22.184613943099976,23.715018033981323,38.44047498703003,2.0631143956363616,16643449.69,155049243.09641668,144720055.55513883,2320.8980203535007,2211.957215349079,0.0,0.0,373594.6081854276,0.8895109718700657,9530332.933092419,100.3192940325518,0.0,0.0,425260.0,7.732000000000001,30008316.100821625,873.7831096834037,31632475.93425574,264.1926362450773,83079263.52006146,1073.981469420598
ward_k1000_perlocation_NoExtremePreservation_hp0.95_lp0.05_basedataset,False,NoExtremePreservation,1000,8.001325845718384,21.32923984527588,91.57628083229064,121.9611541950383,27425458.22,147097827.529246,137955845.73032674,2374.412015129701,2274.9250488252883,0.0,0.0,0.0,0.0,8716721.798919244,91.7549663044131,0.0,0.0,425260.0,7.732000000000001,36872773.986716904,1073.6626143405845,23049615.0384529,192.50907118682136,78033456.70515695,1008.7533632978823
ward_k2000_global_DynamicProgramming_s168_hp0.95_lp0.05_basedataset,False,NoExtremePreservation Global,2000,20.613029956817627,27.612508058547974,84.84751105308533,5.643153184090807,16767779.0,150442380.26126438,142159425.20037735,2357.103727306505,2267.393907354568,0.0,0.0,0.0,0.0,7953673.03838486,83.72287408826169,0.0,0.0,329282.02250214666,5.986945863675395,33290557.053706437,969.3555069117633,23896019.00276898,199.57818885961126,84972849.14390193,1098.4602115831933
ward_k500_global_Afterwards_hp0.95_lp0.05_basedataset,False,NoExtremePreservation Global,500,10.47900915145874,17.187561988830566,10.506240844726562,0.0,27083176.87,180618571.50633,131983241.47152174,1905.9036272290612,1684.3237325129721,0.0,0.0,1063092.6148656947,2.531172892537368,16350824.584162202,172.11394299118103,30400000.0,32.0,821412.8357803803,14.934778832370553,7342930.18875705,213.8116765020548,30760520.809330538,256.91011673505926,93879790.47343415,1213.601939275858
